,ax,ay,az
0,,,
1,0.952,-0.015,-0.038;
2,0.956,0.011,-0.042;
3,0.926,0.019,-0.042;
4,0.903,0.038,-0.052;
5,0.918,0.004,-0.066;
6,0.945,-0.034,-0.084;
7,0.967,-0.004,-0.077;
8,0.949,0.053,-0.091;
9,0.941,0.034,-0.084;
10,0.933,0.008,-0.073;
11,0.926,-0.004,-0.052;
12,0.933,-0.008,-0.052;
13,0.937,-0.034,-0.077;
14,0.945,-0.038,-0.091;
15,0.941,-0.019,-0.080;
16,0.933,-0.011,-0.077;
17,0.937,-0.011,-0.066;
18,0.933,-0.008,-0.070;
19,0.933,-0.011,-0.077;
20,0.937,-0.011,-0.084;
21,0.945,-0.015,-0.084;
22,0.949,-0.015,-0.073;
23,0.949,-0.026,-0.073;
24,0.937,-0.019,-0.063;
25,0.926,-0.026,-0.077;
26,0.93,-0.023,-0.063;
27,0.937,-0.026,-0.066;
28,0.93,-0.034,-0.070;
29,0.937,-0.015,-0.066;
30,0.945,-0.015,-0.066;
31,0.941,-0.011,-0.066;
32,0.941,-0.023,-0.063;
33,0.937,-0.019,-0.070;
34,0.937,-0.015,-0.063;
35,0.93,-0.011,-0.073;
36,0.941,-0.019,-0.063;
37,0.941,-0.015,-0.070;
38,0.933,-0.019,-0.070;
39,0.937,-0.019,-0.073;
40,0.937,-0.008,-0.066;
41,0.945,-0.008,-0.073;
42,0.945,-0.019,-0.059;
43,0.933,-0.015,-0.063;
44,0.937,-0.019,-0.073;
45,0.937,-0.015,-0.052;
46,0.937,-0.019,-0.052;
47,0.937,-0.019,-0.070;
48,0.941,-0.023,-0.059;
49,0.945,-0.019,-0.052;
50,0.93,-0.008,-0.049;
51,0.933,-0.011,-0.052;
52,0.941,-0.019,-0.059;
53,0.926,-0.019,-0.059;
54,0.941,-0.023,-0.066;
55,0.945,-0.015,-0.052;
56,0.941,-0.015,-0.066;
57,0.945,-0.041,-0.056;
58,0.952,-0.056,-0.045;
59,0.93,-0.049,-0.056;
60,0.933,-0.041,-0.059;
61,0.941,-0.038,-0.059;
62,0.96,-0.011,-0.063;
63,0.949,-0.008,-0.063;
64,0.93,-0.011,-0.063;
65,0.93,-0.019,-0.077;
66,0.933,-0.023,-0.070;
67,0.937,-0.023,-0.073;
68,0.937,-0.011,-0.070;
69,0.933,-0.008,-0.066;
70,0.937,-0.004,-0.063;
71,0.941,-0.004,-0.070;
72,0.933,-0.011,-0.077;
73,0.933,-0.015,-0.073;
74,0.937,-0.019,-0.073;
75,0.945,-0.026,-0.073;
76,0.956,-0.03,-0.063;
77,0.949,-0.026,-0.066;
78,0.926,-0.023,-0.063;
79,0.93,-0.03,-0.077;
80,0.941,-0.026,-0.073;
81,0.933,-0.03,-0.073;
82,0.937,-0.019,-0.059;
83,0.937,-0.008,-0.059;
84,0.933,-0.023,-0.049;
85,0.937,-0.011,-0.056;
86,0.949,-0.03,-0.056;
87,0.945,-0.034,-0.049;
88,0.937,-0.023,-0.052;
89,0.93,-0.015,-0.059;
90,0.941,-0.019,-0.049;
