,ax,ay,az
0,,,
1,0.087,-0.256,-0.877;
2,0.087,-0.256,-0.880;
3,0.09,-0.256,-0.873;
4,0.083,-0.252,-0.870;
5,0.083,-0.252,-0.873;
6,0.075,-0.259,-0.873;
7,0.083,-0.263,-0.880;
8,0.075,-0.256,-0.880;
9,0.072,-0.259,-0.877;
10,0.072,-0.248,-0.880;
11,0.075,-0.241,-0.887;
12,0.083,-0.256,-0.880;
13,0.087,-0.259,-0.873;
14,0.087,-0.259,-0.877;
15,0.083,-0.256,-0.877;
16,0.083,-0.259,-0.887;
17,0.079,-0.259,-0.884;
18,0.075,-0.259,-0.870;
19,0.079,-0.259,-0.891;
20,0.083,-0.256,-0.863;
21,0.09,-0.248,-0.884;
22,0.079,-0.237,-0.884;
23,0.079,-0.256,-0.873;
24,0.083,-0.263,-0.866;
25,0.087,-0.256,-0.856;
26,0.075,-0.244,-0.873;
27,0.083,-0.252,-0.880;
28,0.079,-0.263,-0.884;
29,0.079,-0.252,-0.884;
30,0.079,-0.248,-0.873;
31,0.079,-0.248,-0.884;
32,0.087,-0.252,-0.873;
33,0.079,-0.244,-0.873;
34,0.075,-0.256,-0.877;
35,0.079,-0.256,-0.880;
36,0.079,-0.256,-0.877;
37,0.075,-0.263,-0.877;
38,0.083,-0.256,-0.880;
39,0.079,-0.259,-0.891;
40,0.079,-0.267,-0.877;
41,0.079,-0.248,-0.877;
42,0.09,-0.256,-0.863;
43,0.094,-0.248,-0.866;
44,0.09,-0.241,-0.880;
45,0.083,-0.256,-0.887;
46,0.083,-0.252,-0.877;
47,0.087,-0.263,-0.863;
48,0.079,-0.267,-0.880;
49,0.064,-0.267,-0.880;
50,0.072,-0.248,-0.884;
51,0.075,-0.256,-0.877;
52,0.083,-0.248,-0.866;
53,0.075,-0.237,-0.859;
54,0.068,-0.237,-0.894;
55,0.068,-0.263,-0.894;
56,0.068,-0.267,-0.873;
57,0.075,-0.256,-0.884;
58,0.079,-0.259,-0.863;
59,0.075,-0.241,-0.859;
60,0.068,-0.252,-0.891;
61,0.072,-0.256,-0.894;
62,0.072,-0.263,-0.887;
63,0.083,-0.259,-0.884;
64,0.056,-0.241,-0.866;
65,0.064,-0.241,-0.863;
66,0.056,-0.241,-0.887;
67,0.075,-0.241,-0.887;
68,0.06,-0.248,-0.884;
69,0.064,-0.248,-0.880;
70,0.072,-0.241,-0.877;
71,0.064,-0.241,-0.866;
72,0.056,-0.241,-0.887;
73,0.06,-0.244,-0.870;
74,0.053,-0.248,-0.877;
75,0.049,-0.248,-0.870;
76,0.064,-0.229,-0.880;
77,0.06,-0.248,-0.901;
78,0.056,-0.252,-0.887;
79,0.064,-0.248,-0.884;
80,0.056,-0.248,-0.870;
81,0.053,-0.244,-0.873;
82,0.053,-0.241,-0.894;
83,0.053,-0.241,-0.887;
84,0.053,-0.241,-0.873;
85,0.056,-0.248,-0.887;
86,0.038,-0.241,-0.870;
87,0.053,-0.244,-0.891;
88,0.041,-0.244,-0.877;
89,0.056,-0.252,-0.894;
90,0.06,-0.248,-0.884;
91,0.045,-0.244,-0.894;
92,0.056,-0.252,-0.891;
93,0.053,-0.241,-0.856;
94,0.053,-0.248,-0.873;
95,0.049,-0.237,-0.891;
96,0.056,-0.244,-0.887;
97,0.053,-0.237,-0.891;
98,0.045,-0.248,-0.880;
99,0.041,-0.241,-0.866;
100,0.041,-0.233,-0.873;
101,0.053,-0.229,-0.884;
102,0.049,-0.233,-0.898;
103,0.045,-0.233,-0.887;
104,0.045,-0.244,-0.887;
105,0.056,-0.237,-0.877;
106,0.045,-0.237,-0.894;
107,0.049,-0.237,-0.887;
108,0.049,-0.241,-0.877;
109,0.049,-0.233,-0.884;
110,0.049,-0.233,-0.887;
111,0.041,-0.237,-0.887;
112,0.049,-0.226,-0.884;
113,0.041,-0.241,-0.870;
114,0.041,-0.241,-0.873;
115,0.034,-0.229,-0.880;
116,0.041,-0.241,-0.880;
117,0.049,-0.244,-0.873;
118,0.045,-0.237,-0.877;
119,0.045,-0.229,-0.873;
120,0.053,-0.237,-0.877;
121,0.045,-0.237,-0.884;
122,0.041,-0.237,-0.873;
123,0.041,-0.233,-0.873;
124,0.056,-0.252,-0.887;
125,0.045,-0.241,-0.880;
126,0.045,-0.237,-0.859;
127,0.045,-0.244,-0.870;
128,0.041,-0.237,-0.873;
129,0.056,-0.244,-0.887;
130,0.056,-0.248,-0.887;
131,0.041,-0.244,-0.866;
132,0.041,-0.237,-0.866;
133,0.038,-0.233,-0.884;
134,0.053,-0.241,-0.887;
135,0.056,-0.244,-0.887;
136,0.056,-0.241,-0.873;
137,0.053,-0.241,-0.887;
138,0.049,-0.244,-0.877;
139,0.053,-0.244,-0.880;
140,0.045,-0.241,-0.884;
141,0.053,-0.241,-0.880;
142,0.049,-0.248,-0.880;
143,0.053,-0.248,-0.877;
144,0.06,-0.241,-0.887;
145,0.056,-0.233,-0.891;
146,0.053,-0.229,-0.880;
147,0.053,-0.241,-0.870;
148,0.053,-0.256,-0.880;
149,0.056,-0.248,-0.887;
150,0.064,-0.244,-0.887;
151,0.056,-0.248,-0.880;
152,0.053,-0.244,-0.877;
153,0.075,-0.241,-0.873;
154,0.072,-0.244,-0.877;
155,0.056,-0.248,-0.887;
156,0.064,-0.244,-0.884;
157,0.068,-0.248,-0.877;
158,0.068,-0.259,-0.884;
159,0.072,-0.259,-0.877;
160,0.079,-0.256,-0.873;
161,0.072,-0.241,-0.880;
