,ax,ay,az
0,,,
1,-0.226,-0.049,-0.877;
2,-0.218,-0.041,-0.870;
3,-0.218,-0.053,-0.870;
4,-0.215,-0.049,-0.863;
5,-0.215,-0.049,-0.877;
6,-0.199,-0.06,-0.894;
7,-0.207,-0.06,-0.870;
8,-0.196,-0.071,-0.870;
9,-0.211,-0.045,-0.887;
10,-0.203,-0.034,-0.887;
11,-0.222,-0.041,-0.884;
12,-0.23,-0.034,-0.873;
13,-0.211,-0.045,-0.863;
14,-0.192,-0.038,-0.891;
15,-0.192,-0.041,-0.894;
16,-0.218,-0.034,-0.898;
17,-0.226,-0.034,-0.866;
18,-0.203,-0.03,-0.859;
19,-0.211,-0.034,-0.884;
20,-0.215,-0.053,-0.873;
21,-0.215,-0.041,-0.887;
22,-0.226,-0.045,-0.891;
23,-0.207,-0.064,-0.859;
24,-0.218,-0.045,-0.870;
25,-0.218,-0.045,-0.887;
26,-0.218,-0.045,-0.880;
27,-0.211,-0.056,-0.884;
28,-0.218,-0.034,-0.891;
29,-0.215,-0.045,-0.877;
30,-0.207,-0.045,-0.877;
31,-0.215,-0.041,-0.880;
32,-0.218,-0.041,-0.870;
33,-0.218,-0.041,-0.887;
34,-0.215,-0.038,-0.880;
35,-0.218,-0.041,-0.863;
36,-0.218,-0.049,-0.894;
37,-0.218,-0.038,-0.870;
38,-0.215,-0.053,-0.877;
39,-0.211,-0.045,-0.884;
40,-0.211,-0.049,-0.859;
41,-0.211,-0.026,-0.877;
42,-0.211,-0.034,-0.884;
43,-0.207,-0.023,-0.891;
44,-0.222,-0.034,-0.877;
45,-0.211,-0.045,-0.870;
46,-0.218,-0.041,-0.880;
47,-0.207,-0.049,-0.887;
48,-0.203,-0.06,-0.877;
49,-0.207,-0.068,-0.873;
50,-0.199,-0.06,-0.884;
51,-0.196,-0.053,-0.898;
52,-0.218,-0.034,-0.877;
53,-0.211,-0.049,-0.873;
54,-0.199,-0.056,-0.866;
55,-0.196,-0.06,-0.877;
56,-0.222,-0.06,-0.891;
57,-0.211,-0.049,-0.877;
58,-0.203,-0.06,-0.877;
59,-0.199,-0.056,-0.873;
60,-0.215,-0.049,-0.877;
61,-0.211,-0.06,-0.884;
62,-0.207,-0.049,-0.880;
63,-0.199,-0.038,-0.898;
64,-0.207,-0.056,-0.877;
65,-0.203,-0.06,-0.877;
66,-0.199,-0.041,-0.884;
67,-0.218,-0.019,-0.898;
68,-0.207,-0.053,-0.880;
69,-0.196,-0.06,-0.884;
70,-0.203,-0.045,-0.884;
71,-0.196,-0.026,-0.880;
72,-0.211,-0.034,-0.880;
73,-0.203,-0.045,-0.856;
74,-0.211,-0.045,-0.880;
75,-0.203,-0.06,-0.866;
76,-0.207,-0.064,-0.884;
77,-0.199,-0.06,-0.894;
78,-0.218,-0.045,-0.887;
79,-0.203,-0.06,-0.880;
80,-0.199,-0.068,-0.852;
81,-0.199,-0.045,-0.873;
82,-0.207,-0.038,-0.877;
83,-0.211,-0.041,-0.884;
84,-0.199,-0.034,-0.891;
85,-0.211,-0.034,-0.884;
86,-0.203,-0.053,-0.859;
87,-0.199,-0.049,-0.877;
88,-0.199,-0.053,-0.884;
89,-0.203,-0.06,-0.884;
90,-0.203,-0.045,-0.894;
91,-0.196,-0.041,-0.866;
92,-0.196,-0.038,-0.887;
93,-0.237,-0.053,-0.887;
94,-0.245,-0.053,-0.852;
95,-0.215,-0.049,-0.873;
96,-0.196,-0.053,-0.887;
97,-0.211,-0.06,-0.887;
98,-0.211,-0.056,-0.884;
99,-0.218,-0.038,-0.887;
100,-0.222,-0.049,-0.873;
101,-0.218,-0.053,-0.873;
102,-0.215,-0.053,-0.877;
103,-0.203,-0.049,-0.884;
104,-0.222,-0.053,-0.877;
105,-0.215,-0.053,-0.866;
106,-0.222,-0.045,-0.870;
107,-0.211,-0.045,-0.877;
108,-0.222,-0.041,-0.873;
109,-0.215,-0.045,-0.873;
110,-0.215,-0.038,-0.894;
111,-0.226,-0.034,-0.884;
112,-0.222,-0.045,-0.880;
113,-0.222,-0.045,-0.884;
114,-0.218,-0.03,-0.887;
115,-0.218,-0.045,-0.887;
116,-0.218,-0.038,-0.891;
117,-0.218,-0.053,-0.873;
118,-0.215,-0.041,-0.880;
119,-0.222,-0.03,-0.877;
120,-0.226,-0.045,-0.880;
121,-0.222,-0.049,-0.866;
122,-0.215,-0.049,-0.870;
123,-0.23,-0.041,-0.870;
124,-0.226,-0.03,-0.891;
125,-0.218,-0.034,-0.877;
126,-0.218,-0.038,-0.884;
127,-0.222,-0.041,-0.877;
128,-0.226,-0.049,-0.870;
129,-0.222,-0.045,-0.873;
130,-0.218,-0.045,-0.887;
131,-0.211,-0.053,-0.873;
132,-0.222,-0.038,-0.891;
133,-0.222,-0.034,-0.880;
134,-0.222,-0.045,-0.880;
135,-0.211,-0.056,-0.873;
136,-0.222,-0.034,-0.884;
137,-0.218,-0.049,-0.880;
138,-0.218,-0.045,-0.873;
139,-0.215,-0.049,-0.884;
140,-0.222,-0.045,-0.877;
141,-0.218,-0.049,-0.887;
142,-0.222,-0.038,-0.891;
143,-0.215,-0.045,-0.873;
144,-0.215,-0.045,-0.873;
145,-0.207,-0.034,-0.884;
146,-0.215,-0.038,-0.877;
147,-0.218,-0.045,-0.887;
