,ax,ay,az
0,,,
1,0.053,-0.887,-0.381;
2,0.053,-0.876,-0.395;
3,0.045,-0.861,-0.391;
4,0.053,-0.861,-0.395;
5,0.056,-0.857,-0.402;
6,0.038,-0.857,-0.391;
7,0.041,-0.872,-0.388;
8,0.041,-0.884,-0.384;
9,0.041,-0.876,-0.398;
10,0.049,-0.876,-0.398;
11,0.053,-0.872,-0.388;
12,0.045,-0.869,-0.384;
13,0.053,-0.88,-0.388;
14,0.049,-0.872,-0.391;
15,0.049,-0.884,-0.391;
16,0.041,-0.887,-0.377;
17,0.045,-0.88,-0.388;
18,0.041,-0.876,-0.384;
19,0.041,-0.872,-0.384;
20,0.041,-0.88,-0.384;
21,0.049,-0.884,-0.377;
22,0.053,-0.884,-0.384;
23,0.049,-0.884,-0.384;
24,0.053,-0.876,-0.388;
25,0.041,-0.876,-0.384;
26,0.053,-0.88,-0.391;
27,0.049,-0.872,-0.384;
28,0.045,-0.865,-0.395;
29,0.045,-0.869,-0.398;
30,0.041,-0.857,-0.398;
31,0.049,-0.869,-0.391;
32,0.038,-0.876,-0.395;
33,0.034,-0.884,-0.391;
34,0.034,-0.865,-0.402;
35,0.056,-0.869,-0.381;
36,0.053,-0.876,-0.391;
37,0.06,-0.872,-0.405;
38,0.045,-0.876,-0.388;
39,0.041,-0.88,-0.377;
40,0.049,-0.906,-0.377;
41,0.049,-0.895,-0.381;
42,0.049,-0.872,-0.398;
43,0.041,-0.865,-0.388;
44,0.053,-0.872,-0.391;
45,0.053,-0.869,-0.388;
46,0.045,-0.884,-0.381;
47,0.064,-0.887,-0.374;
48,0.049,-0.887,-0.374;
49,0.049,-0.876,-0.377;
50,0.045,-0.876,-0.395;
51,0.041,-0.876,-0.384;
52,0.049,-0.895,-0.381;
53,0.049,-0.891,-0.374;
54,0.053,-0.887,-0.370;
55,0.041,-0.887,-0.377;
56,0.053,-0.884,-0.391;
57,0.045,-0.88,-0.384;
58,0.045,-0.876,-0.395;
59,0.045,-0.876,-0.395;
60,0.045,-0.887,-0.388;
61,0.049,-0.884,-0.381;
62,0.045,-0.88,-0.374;
63,0.049,-0.88,-0.367;
64,0.038,-0.88,-0.367;
65,0.041,-0.88,-0.367;
66,0.045,-0.88,-0.363;
67,0.049,-0.906,-0.356;
68,0.049,-0.899,-0.353;
69,0.056,-0.899,-0.356;
70,0.056,-0.902,-0.349;
71,0.053,-0.887,-0.349;
72,0.049,-0.891,-0.367;
73,0.049,-0.891,-0.363;
74,0.049,-0.887,-0.363;
75,0.041,-0.887,-0.346;
76,0.045,-0.895,-0.353;
77,0.045,-0.895,-0.367;
78,0.049,-0.891,-0.367;
79,0.049,-0.895,-0.349;
80,0.045,-0.899,-0.356;
81,0.049,-0.891,-0.356;
82,0.041,-0.902,-0.346;
83,0.049,-0.899,-0.342;
84,0.053,-0.895,-0.360;
85,0.056,-0.906,-0.353;
86,0.03,-0.891,-0.346;
87,0.038,-0.899,-0.332;
88,0.038,-0.899,-0.342;
89,0.034,-0.895,-0.342;
90,0.041,-0.899,-0.346;
91,0.041,-0.891,-0.346;
92,0.049,-0.895,-0.353;
93,0.049,-0.902,-0.349;
94,0.041,-0.899,-0.349;
95,0.053,-0.899,-0.349;
96,0.041,-0.891,-0.342;
97,0.049,-0.899,-0.335;
98,0.03,-0.895,-0.349;
99,0.041,-0.891,-0.349;
100,0.041,-0.899,-0.349;
101,0.038,-0.895,-0.346;
102,0.049,-0.899,-0.349;
103,0.034,-0.895,-0.339;
104,0.038,-0.906,-0.346;
105,0.038,-0.895,-0.339;
106,0.034,-0.899,-0.335;
107,0.041,-0.899,-0.332;
108,0.041,-0.902,-0.342;
109,0.038,-0.902,-0.335;
110,0.038,-0.899,-0.342;
111,0.041,-0.899,-0.332;
112,0.041,-0.902,-0.328;
113,0.038,-0.891,-0.335;
114,0.038,-0.899,-0.342;
115,0.041,-0.899,-0.328;
116,0.038,-0.906,-0.332;
117,0.034,-0.895,-0.328;
118,0.023,-0.895,-0.332;
119,0.034,-0.902,-0.325;
120,0.034,-0.902,-0.332;
121,0.03,-0.902,-0.349;
122,0.026,-0.895,-0.335;
123,0.038,-0.891,-0.335;
124,0.03,-0.899,-0.335;
125,0.026,-0.906,-0.332;
126,0.026,-0.902,-0.339;
127,0.03,-0.902,-0.339;
128,0.034,-0.899,-0.349;
129,0.041,-0.891,-0.353;
130,0.045,-0.902,-0.349;
131,0.03,-0.899,-0.321;
132,0.034,-0.906,-0.318;
133,0.015,-0.914,-0.328;
134,0.023,-0.906,-0.328;
135,0.019,-0.899,-0.339;
136,0.019,-0.899,-0.335;
137,0.026,-0.895,-0.328;
138,0.023,-0.899,-0.339;
139,0.03,-0.899,-0.339;
140,0.026,-0.895,-0.339;
141,0.026,-0.899,-0.346;
142,0.034,-0.902,-0.356;
143,0.019,-0.895,-0.346;
144,0.026,-0.91,-0.356;
145,0.026,-0.902,-0.360;
146,0.045,-0.91,-0.356;
147,0.034,-0.887,-0.346;
148,0.03,-0.884,-0.356;
149,0.034,-0.902,-0.339;
150,0.026,-0.899,-0.356;
151,0.023,-0.899,-0.353;
