,ax,ay,az
0,,,
1,-0.222,-0.034,-0.884;
2,-0.226,-0.041,-0.880;
3,-0.211,-0.03,-0.880;
4,-0.215,-0.041,-0.870;
5,-0.207,-0.045,-0.891;
6,-0.211,-0.049,-0.887;
7,-0.23,-0.041,-0.891;
8,-0.23,-0.03,-0.873;
9,-0.226,-0.034,-0.842;
10,-0.23,-0.038,-0.863;
11,-0.226,-0.045,-0.884;
12,-0.222,-0.045,-0.873;
13,-0.211,-0.038,-0.873;
14,-0.215,-0.049,-0.873;
15,-0.215,-0.053,-0.877;
16,-0.222,-0.049,-0.866;
17,-0.226,-0.041,-0.877;
18,-0.222,-0.03,-0.873;
19,-0.211,-0.038,-0.891;
20,-0.222,-0.045,-0.884;
21,-0.222,-0.034,-0.884;
22,-0.222,-0.03,-0.877;
23,-0.218,-0.019,-0.887;
24,-0.222,-0.026,-0.887;
25,-0.222,-0.03,-0.884;
26,-0.222,-0.03,-0.877;
27,-0.226,-0.026,-0.873;
28,-0.222,-0.038,-0.877;
29,-0.226,-0.026,-0.884;
30,-0.226,-0.026,-0.873;
31,-0.222,-0.023,-0.880;
32,-0.215,-0.038,-0.852;
33,-0.226,-0.015,-0.880;
34,-0.222,-0.015,-0.894;
35,-0.226,-0.023,-0.887;
36,-0.241,-0.023,-0.880;
37,-0.222,-0.019,-0.877;
38,-0.226,-0.004,-0.880;
39,-0.226,-0.011,-0.873;
40,-0.222,0.0,-0.880;
41,-0.226,-0.011,-0.891;
42,-0.226,-0.023,-0.866;
43,-0.226,-0.023,-0.873;
44,-0.218,-0.03,-0.870;
45,-0.226,-0.023,-0.891;
46,-0.222,-0.015,-0.898;
47,-0.226,-0.015,-0.863;
48,-0.226,-0.008,-0.866;
49,-0.23,-0.019,-0.866;
50,-0.226,-0.023,-0.877;
51,-0.211,-0.034,-0.877;
52,-0.211,-0.034,-0.891;
53,-0.222,-0.034,-0.877;
54,-0.222,-0.03,-0.884;
55,-0.226,-0.015,-0.898;
56,-0.222,-0.034,-0.891;
57,-0.222,-0.026,-0.880;
58,-0.218,-0.026,-0.873;
59,-0.218,-0.026,-0.873;
60,-0.23,-0.011,-0.866;
61,-0.215,-0.03,-0.870;
62,-0.203,-0.041,-0.887;
63,-0.215,-0.03,-0.887;
64,-0.222,-0.026,-0.884;
65,-0.218,-0.034,-0.880;
66,-0.218,-0.041,-0.873;
67,-0.218,-0.034,-0.880;
68,-0.226,-0.019,-0.887;
69,-0.226,-0.019,-0.884;
70,-0.226,-0.038,-0.866;
71,-0.215,-0.038,-0.877;
72,-0.215,-0.026,-0.891;
73,-0.215,-0.011,-0.901;
74,-0.222,-0.019,-0.894;
75,-0.226,-0.03,-0.873;
76,-0.23,-0.034,-0.866;
77,-0.215,-0.019,-0.894;
78,-0.211,-0.015,-0.891;
79,-0.215,-0.008,-0.880;
80,-0.211,0.0,-0.852;
81,-0.203,-0.011,-0.859;
82,-0.218,0.0,-0.887;
83,-0.211,-0.019,-0.894;
84,-0.222,-0.023,-0.877;
85,-0.215,-0.03,-0.873;
86,-0.218,-0.038,-0.887;
87,-0.215,-0.023,-0.880;
88,-0.207,-0.015,-0.887;
89,-0.203,-0.008,-0.887;
90,-0.207,0.004,-0.880;
91,-0.215,0.0,-0.887;
92,-0.215,0.008,-0.894;
93,-0.226,-0.004,-0.884;
94,-0.199,0.0,-0.877;
95,-0.215,-0.004,-0.877;
96,-0.207,-0.011,-0.884;
97,-0.203,-0.004,-0.887;
98,-0.203,-0.004,-0.880;
99,-0.199,0.004,-0.894;
100,-0.199,-0.004,-0.877;
101,-0.215,0.004,-0.870;
102,-0.203,-0.008,-0.870;
103,-0.207,-0.004,-0.866;
104,-0.222,0.0,-0.887;
105,-0.215,-0.008,-0.887;
106,-0.215,0.004,-0.884;
107,-0.203,0.0,-0.866;
108,-0.226,0.011,-0.866;
109,-0.211,-0.004,-0.866;
110,-0.215,0.011,-0.884;
111,-0.226,0.008,-0.877;
112,-0.215,-0.004,-0.873;
113,-0.218,0.004,-0.880;
114,-0.218,0.008,-0.877;
115,-0.215,0.0,-0.887;
116,-0.226,0.011,-0.884;
117,-0.215,0.0,-0.849;
118,-0.218,0.008,-0.880;
119,-0.218,0.011,-0.884;
120,-0.226,0.004,-0.884;
121,-0.233,0.015,-0.887;
122,-0.207,0.011,-0.863;
123,-0.218,0.019,-0.866;
124,-0.218,0.023,-0.870;
125,-0.211,0.011,-0.898;
126,-0.211,0.004,-0.880;
127,-0.218,0.015,-0.870;
128,-0.207,0.008,-0.866;
129,-0.215,0.004,-0.884;
130,-0.218,0.019,-0.887;
131,-0.203,0.011,-0.884;
132,-0.207,0.008,-0.873;
133,-0.222,0.015,-0.877;
134,-0.203,0.019,-0.880;
135,-0.207,0.019,-0.880;
136,-0.211,0.019,-0.877;
137,-0.207,0.004,-0.866;
138,-0.211,0.023,-0.859;
139,-0.196,0.015,-0.891;
140,-0.203,0.011,-0.866;
141,-0.207,0.004,-0.877;
142,-0.207,0.019,-0.877;
143,-0.215,0.008,-0.873;
144,-0.199,0.011,-0.880;
145,-0.203,0.019,-0.880;
146,-0.211,0.015,-0.870;
147,-0.203,0.023,-0.880;
148,-0.207,0.019,-0.866;
149,-0.203,0.015,-0.884;
150,-0.184,0.023,-0.880;
151,-0.196,0.026,-0.898;
152,-0.192,0.015,-0.866;
153,-0.196,0.008,-0.877;
154,-0.188,0.026,-0.898;
155,-0.203,0.019,-0.859;
156,-0.215,0.023,-0.887;
157,-0.196,0.015,-0.866;
158,-0.192,0.019,-0.870;
159,-0.192,0.019,-0.870;
160,-0.184,0.026,-0.887;
161,-0.196,0.011,-0.880;
162,-0.199,0.015,-0.894;
163,-0.199,0.019,-0.901;
164,-0.207,0.011,-0.852;
165,-0.207,0.019,-0.849;
166,-0.196,0.015,-0.894;
167,-0.184,0.019,-0.898;
168,-0.192,0.008,-0.891;
169,-0.196,0.019,-0.880;
170,-0.192,0.023,-0.894;
171,-0.199,0.023,-0.884;
172,-0.199,0.019,-0.884;
173,-0.203,0.023,-0.877;
174,-0.196,0.019,-0.866;
175,-0.199,0.011,-0.898;
176,-0.199,0.03,-0.891;
177,-0.203,0.015,-0.873;
178,-0.207,0.019,-0.859;
179,-0.203,0.026,-0.884;
180,-0.207,0.011,-0.894;
181,-0.207,0.019,-0.877;
182,-0.207,0.011,-0.877;
183,-0.207,0.015,-0.859;
184,-0.199,0.015,-0.880;
185,-0.199,0.019,-0.905;
186,-0.192,0.015,-0.908;
187,-0.207,0.019,-0.870;
188,-0.211,0.023,-0.884;
189,-0.211,0.023,-0.880;
190,-0.211,0.019,-0.880;
191,-0.215,0.008,-0.877;
192,-0.207,0.015,-0.859;
193,-0.199,0.011,-0.877;
194,-0.188,0.026,-0.891;
195,-0.199,0.026,-0.884;
196,-0.211,0.026,-0.877;
197,-0.203,0.026,-0.866;
198,-0.203,0.015,-0.877;
199,-0.203,0.019,-0.884;
200,-0.199,0.015,-0.887;
201,-0.203,0.034,-0.887;
202,-0.211,0.023,-0.873;
203,-0.199,0.008,-0.884;
204,-0.207,0.023,-0.873;
205,-0.199,0.011,-0.873;
206,-0.203,0.023,-0.873;
207,-0.215,0.015,-0.866;
208,-0.199,0.015,-0.873;
209,-0.199,0.015,-0.891;
210,-0.196,0.011,-0.887;
211,-0.203,0.015,-0.884;
212,-0.199,0.023,-0.880;
213,-0.207,0.011,-0.859;
214,-0.203,0.008,-0.880;
215,-0.207,0.023,-0.884;
216,-0.196,0.015,-0.884;
217,-0.203,0.008,-0.877;
218,-0.218,0.008,-0.870;
219,-0.211,0.03,-0.877;
220,-0.211,0.011,-0.877;
221,-0.196,0.008,-0.863;
222,-0.218,0.008,-0.870;
223,-0.215,0.011,-0.894;
224,-0.203,0.008,-0.873;
225,-0.222,0.011,-0.880;
226,-0.203,0.004,-0.880;
227,-0.211,0.008,-0.866;
228,-0.211,0.019,-0.891;
229,-0.211,0.0,-0.873;
230,-0.203,0.026,-0.870;
231,-0.222,0.015,-0.873;
232,-0.226,0.015,-0.880;
233,-0.207,0.015,-0.870;
234,-0.222,0.015,-0.866;
235,-0.211,0.023,-0.877;
236,-0.226,0.026,-0.884;
237,-0.218,0.015,-0.891;
238,-0.226,0.008,-0.891;
239,-0.222,0.011,-0.884;
240,-0.218,0.0,-0.887;
241,-0.215,0.008,-0.894;
242,-0.218,0.011,-0.877;
243,-0.218,0.011,-0.873;
244,-0.222,0.008,-0.880;
245,-0.233,0.008,-0.859;
246,-0.222,0.008,-0.873;
247,-0.233,-0.004,-0.873;
248,-0.23,0.011,-0.870;
249,-0.226,0.004,-0.884;
250,-0.233,0.008,-0.877;
251,-0.222,0.008,-0.877;
252,-0.226,0.004,-0.884;
253,-0.226,0.004,-0.880;
254,-0.237,0.0,-0.870;
255,-0.233,0.0,-0.887;
256,-0.241,0.011,-0.891;
257,-0.233,0.008,-0.880;
258,-0.237,0.004,-0.880;
259,-0.237,-0.004,-0.877;
260,-0.233,0.0,-0.877;
261,-0.237,0.0,-0.866;
262,-0.237,0.004,-0.887;
263,-0.233,0.0,-0.870;
264,-0.241,0.004,-0.891;
265,-0.226,0.0,-0.880;
266,-0.237,0.0,-0.891;
267,-0.241,-0.004,-0.849;
268,-0.23,-0.004,-0.845;
269,-0.226,0.008,-0.870;
270,-0.241,0.004,-0.884;
271,-0.237,-0.004,-0.880;
272,-0.215,0.004,-0.880;
273,-0.233,0.0,-0.884;
274,-0.241,-0.011,-0.870;
275,-0.233,-0.008,-0.866;
276,-0.233,-0.004,-0.877;
277,-0.233,-0.004,-0.877;
278,-0.241,0.0,-0.877;
279,-0.241,-0.004,-0.880;
280,-0.23,0.004,-0.877;
281,-0.23,-0.008,-0.866;
282,-0.233,-0.011,-0.866;
283,-0.233,-0.011,-0.873;
284,-0.226,-0.011,-0.880;
285,-0.23,0.011,-0.877;
286,-0.241,-0.008,-0.852;
287,-0.226,-0.008,-0.877;
288,-0.226,0.0,-0.880;
289,-0.241,0.011,-0.880;
290,-0.237,-0.004,-0.877;
291,-0.233,0.0,-0.877;
292,-0.233,-0.004,-0.870;
293,-0.233,-0.008,-0.873;
294,-0.245,-0.008,-0.877;
295,-0.23,-0.004,-0.887;
296,-0.233,0.004,-0.873;
297,-0.241,0.004,-0.873;
298,-0.241,0.004,-0.870;
299,-0.233,0.004,-0.880;
300,-0.237,0.0,-0.887;
301,-0.237,0.004,-0.880;
302,-0.226,-0.004,-0.870;
303,-0.233,0.0,-0.887;
304,-0.233,0.008,-0.887;
305,-0.245,0.0,-0.877;
306,-0.23,0.0,-0.845;
307,-0.226,-0.004,-0.852;
308,-0.237,0.011,-0.887;
309,-0.237,0.0,-0.898;
310,-0.23,-0.008,-0.877;
311,-0.241,0.0,-0.877;
312,-0.237,0.0,-0.870;
313,-0.233,-0.004,-0.877;
314,-0.233,-0.008,-0.877;
315,-0.237,-0.008,-0.884;
316,-0.245,0.004,-0.870;
317,-0.222,-0.004,-0.884;
318,-0.237,0.0,-0.880;
319,-0.233,0.004,-0.870;
320,-0.233,0.0,-0.873;
321,-0.233,0.004,-0.866;
322,-0.241,0.0,-0.866;
323,-0.241,0.0,-0.870;
324,-0.245,-0.004,-0.891;
325,-0.222,-0.004,-0.870;
326,-0.233,-0.004,-0.877;
327,-0.233,0.004,-0.880;
328,-0.245,0.0,-0.856;
329,-0.23,-0.008,-0.877;
330,-0.233,-0.008,-0.877;
331,-0.233,0.0,-0.880;
332,-0.23,-0.004,-0.877;
333,-0.237,0.0,-0.870;
334,-0.233,-0.004,-0.873;
335,-0.241,-0.008,-0.877;
