,ax,ay,az
0,,,
1,0.124,-0.004,-0.873;
2,0.124,0.004,-0.866;
3,0.124,0.0,-0.866;
4,0.124,0.004,-0.870;
5,0.113,0.004,-0.863;
6,0.124,0.004,-0.873;
7,0.128,0.008,-0.863;
8,0.12,0.011,-0.873;
9,0.113,0.011,-0.877;
10,0.12,0.008,-0.873;
11,0.12,0.004,-0.870;
12,0.117,0.011,-0.870;
13,0.12,0.008,-0.866;
14,0.117,0.011,-0.870;
15,0.12,0.008,-0.880;
16,0.113,0.0,-0.866;
17,0.117,0.0,-0.866;
18,0.113,0.004,-0.870;
19,0.117,0.011,-0.880;
20,0.12,0.015,-0.877;
21,0.124,0.011,-0.866;
22,0.113,0.008,-0.866;
23,0.124,0.008,-0.877;
24,0.124,0.004,-0.873;
25,0.139,0.008,-0.880;
26,0.12,0.008,-0.863;
27,0.105,0.004,-0.866;
28,0.105,0.008,-0.863;
29,0.132,0.011,-0.863;
30,0.117,0.004,-0.870;
31,0.117,0.004,-0.873;
32,0.12,0.004,-0.880;
33,0.124,0.008,-0.873;
34,0.113,0.004,-0.873;
35,0.124,0.008,-0.870;
36,0.12,0.008,-0.877;
37,0.128,0.004,-0.873;
38,0.128,0.004,-0.873;
39,0.128,0.008,-0.870;
40,0.124,0.008,-0.873;
41,0.132,0.008,-0.866;
42,0.132,0.008,-0.873;
43,0.128,0.004,-0.863;
44,0.132,0.0,-0.863;
45,0.136,0.004,-0.866;
46,0.128,0.004,-0.863;
47,0.136,0.004,-0.873;
48,0.128,0.008,-0.859;
49,0.136,0.004,-0.863;
50,0.124,0.015,-0.870;
51,0.124,0.004,-0.866;
52,0.139,0.008,-0.873;
53,0.136,-0.004,-0.880;
54,0.132,0.0,-0.873;
55,0.124,0.004,-0.866;
56,0.12,0.008,-0.859;
57,0.12,0.004,-0.863;
58,0.132,0.004,-0.866;
59,0.128,0.011,-0.863;
60,0.109,0.008,-0.870;
61,0.124,0.008,-0.859;
62,0.132,0.004,-0.870;
63,0.128,0.004,-0.863;
64,0.117,0.0,-0.870;
65,0.109,0.004,-0.863;
66,0.12,0.008,-0.870;
67,0.12,0.008,-0.873;
68,0.12,0.004,-0.873;
69,0.12,0.011,-0.859;
70,0.113,0.004,-0.866;
71,0.113,0.004,-0.866;
72,0.12,0.004,-0.863;
73,0.117,0.004,-0.866;
74,0.105,0.004,-0.863;
75,0.105,-0.004,-0.877;
76,0.105,0.004,-0.866;
77,0.109,0.008,-0.877;
78,0.109,0.008,-0.863;
79,0.109,0.0,-0.873;
80,0.105,0.004,-0.866;
81,0.098,0.004,-0.866;
82,0.109,0.008,-0.873;
83,0.102,0.011,-0.863;
84,0.098,0.008,-0.870;
85,0.09,0.011,-0.866;
86,0.105,0.004,-0.873;
87,0.102,-0.004,-0.877;
88,0.102,0.004,-0.870;
89,0.094,0.004,-0.859;
90,0.09,0.004,-0.873;
91,0.094,0.004,-0.877;
92,0.098,0.004,-0.873;
93,0.098,0.004,-0.880;
94,0.09,0.0,-0.870;
95,0.094,0.011,-0.870;
96,0.079,0.008,-0.877;
97,0.109,-0.004,-0.877;
98,0.094,-0.004,-0.884;
99,0.087,0.008,-0.877;
100,0.09,0.004,-0.863;
101,0.083,0.0,-0.870;
102,0.087,0.008,-0.873;
103,0.087,0.008,-0.859;
104,0.087,0.011,-0.863;
105,0.087,0.011,-0.866;
106,0.098,0.008,-0.880;
107,0.09,0.004,-0.873;
108,0.079,0.0,-0.877;
