,ax,ay,az
0,,,
1,0.015,0.019,-0.901;
2,0.004,0.041,-0.894;
3,0.004,0.034,-0.870;
4,0.015,0.026,-0.884;
5,0.015,0.026,-0.891;
6,0.011,0.034,-0.894;
7,0.015,0.03,-0.887;
8,0.023,0.026,-0.901;
9,0.023,0.03,-0.884;
10,0.023,0.038,-0.887;
11,0.026,0.026,-0.898;
12,0.034,0.008,-0.884;
13,0.038,0.008,-0.891;
14,0.023,0.026,-0.898;
15,0.008,0.034,-0.873;
16,0.008,0.034,-0.901;
17,0.026,0.026,-0.898;
18,0.03,0.019,-0.891;
19,0.019,0.049,-0.908;
20,0.004,0.041,-0.877;
21,0.019,0.023,-0.884;
22,0.023,0.015,-0.880;
23,0.026,0.004,-0.866;
24,0.03,-0.008,-0.887;
25,0.026,0.011,-0.901;
26,0.03,0.011,-0.908;
27,0.015,0.011,-0.887;
28,0.019,0.011,-0.873;
29,0.03,0.015,-0.866;
30,0.023,0.03,-0.891;
31,0.015,0.026,-0.891;
32,0.015,0.019,-0.891;
33,0.019,0.015,-0.901;
34,0.023,0.023,-0.891;
35,0.026,0.023,-0.887;
36,0.015,0.019,-0.894;
37,0.026,0.019,-0.884;
38,0.023,0.019,-0.894;
39,0.011,0.023,-0.877;
40,0.03,0.023,-0.898;
41,0.026,0.023,-0.887;
42,0.023,0.023,-0.880;
43,0.019,0.023,-0.894;
44,0.019,0.015,-0.884;
45,0.015,0.023,-0.884;
46,0.011,0.019,-0.891;
47,0.026,0.023,-0.898;
48,0.015,0.023,-0.884;
49,0.015,0.023,-0.894;
50,0.019,0.019,-0.887;
51,0.019,0.023,-0.901;
52,0.019,0.026,-0.884;
53,0.034,0.023,-0.898;
54,0.019,0.019,-0.891;
55,0.019,0.026,-0.880;
56,0.026,0.019,-0.898;
57,0.008,0.023,-0.891;
58,0.019,0.023,-0.891;
59,0.011,0.038,-0.891;
60,0.019,0.023,-0.891;
61,0.023,0.019,-0.887;
62,0.034,0.015,-0.898;
63,0.015,0.023,-0.884;
64,0.004,0.019,-0.866;
65,0.023,0.026,-0.884;
66,0.023,0.011,-0.880;
67,0.034,0.034,-0.891;
68,0.034,0.023,-0.880;
69,0.026,0.023,-0.894;
70,0.03,0.015,-0.894;
71,0.023,0.015,-0.905;
72,0.023,0.011,-0.898;
73,0.023,0.019,-0.884;
74,0.023,0.03,-0.877;
75,0.019,0.023,-0.894;
76,0.034,0.026,-0.887;
77,0.019,0.023,-0.887;
78,0.023,0.019,-0.877;
79,0.019,0.03,-0.887;
80,0.023,0.03,-0.901;
81,0.038,0.011,-0.887;
82,0.019,0.023,-0.887;
83,0.026,0.019,-0.887;
84,0.019,0.026,-0.898;
85,0.019,0.019,-0.891;
86,0.015,0.023,-0.891;
87,0.023,0.026,-0.877;
88,0.023,0.026,-0.891;
89,0.026,0.03,-0.887;
90,0.03,0.023,-0.884;
91,0.034,0.026,-0.887;
92,0.026,0.03,-0.894;
93,0.019,0.023,-0.898;
94,0.03,0.026,-0.898;
95,0.03,0.034,-0.884;
96,0.03,0.026,-0.891;
97,0.038,0.045,-0.891;
98,0.053,0.03,-0.894;
99,0.034,0.03,-0.887;
100,0.041,0.03,-0.894;
101,0.038,0.034,-0.898;
102,0.049,0.023,-0.891;
103,0.026,0.045,-0.887;
104,0.038,0.034,-0.891;
105,0.038,0.038,-0.905;
106,0.03,0.041,-0.887;
107,0.03,0.038,-0.891;
108,0.049,0.026,-0.887;
109,0.045,0.045,-0.884;
110,0.034,0.038,-0.901;
