,ax,ay,az
0,,,
1,0.079,-0.229,-0.887;
2,0.079,-0.226,-0.894;
3,0.075,-0.241,-0.880;
4,0.087,-0.241,-0.856;
5,0.072,-0.229,-0.870;
6,0.068,-0.214,-0.884;
7,0.072,-0.233,-0.873;
8,0.079,-0.233,-0.877;
9,0.083,-0.218,-0.898;
10,0.072,-0.214,-0.884;
11,0.09,-0.237,-0.866;
12,0.083,-0.233,-0.863;
13,0.068,-0.229,-0.866;
14,0.079,-0.226,-0.884;
15,0.094,-0.229,-0.870;
16,0.075,-0.229,-0.866;
17,0.079,-0.222,-0.880;
18,0.083,-0.222,-0.873;
19,0.083,-0.241,-0.880;
20,0.072,-0.222,-0.887;
21,0.083,-0.218,-0.877;
22,0.094,-0.218,-0.863;
23,0.075,-0.226,-0.877;
24,0.068,-0.229,-0.866;
25,0.083,-0.222,-0.880;
26,0.072,-0.218,-0.873;
27,0.068,-0.218,-0.884;
28,0.072,-0.222,-0.887;
29,0.075,-0.229,-0.877;
30,0.079,-0.214,-0.877;
31,0.075,-0.226,-0.891;
32,0.075,-0.226,-0.859;
33,0.09,-0.237,-0.870;
34,0.075,-0.226,-0.880;
35,0.079,-0.229,-0.880;
36,0.072,-0.214,-0.877;
37,0.072,-0.214,-0.873;
38,0.083,-0.218,-0.877;
39,0.083,-0.226,-0.877;
40,0.079,-0.229,-0.877;
41,0.075,-0.222,-0.880;
42,0.087,-0.211,-0.891;
43,0.072,-0.226,-0.870;
44,0.075,-0.237,-0.877;
45,0.072,-0.229,-0.873;
46,0.075,-0.218,-0.873;
47,0.083,-0.214,-0.887;
48,0.079,-0.226,-0.866;
49,0.079,-0.229,-0.884;
50,0.083,-0.218,-0.877;
51,0.075,-0.222,-0.884;
52,0.075,-0.218,-0.870;
53,0.075,-0.211,-0.884;
54,0.068,-0.222,-0.877;
55,0.06,-0.222,-0.877;
56,0.079,-0.218,-0.877;
57,0.083,-0.222,-0.873;
58,0.087,-0.233,-0.870;
59,0.083,-0.218,-0.873;
60,0.087,-0.222,-0.877;
61,0.072,-0.218,-0.880;
62,0.094,-0.226,-0.884;
63,0.083,-0.211,-0.887;
64,0.06,-0.218,-0.880;
65,0.06,-0.226,-0.898;
66,0.072,-0.218,-0.887;
67,0.072,-0.226,-0.866;
68,0.087,-0.222,-0.863;
69,0.087,-0.211,-0.866;
70,0.083,-0.211,-0.894;
71,0.083,-0.222,-0.880;
72,0.105,-0.214,-0.870;
73,0.094,-0.226,-0.859;
74,0.094,-0.203,-0.873;
75,0.087,-0.203,-0.873;
76,0.083,-0.214,-0.877;
77,0.075,-0.211,-0.866;
78,0.068,-0.207,-0.866;
79,0.09,-0.214,-0.870;
80,0.075,-0.211,-0.891;
81,0.06,-0.214,-0.894;
82,0.079,-0.226,-0.887;
83,0.087,-0.222,-0.863;
84,0.083,-0.214,-0.870;
85,0.068,-0.222,-0.880;
86,0.09,-0.226,-0.880;
87,0.087,-0.214,-0.877;
88,0.053,-0.222,-0.912;
89,0.045,-0.222,-0.884;
90,0.072,-0.233,-0.859;
91,0.064,-0.229,-0.859;
92,0.072,-0.218,-0.898;
93,0.068,-0.211,-0.901;
94,0.075,-0.229,-0.880;
95,0.072,-0.229,-0.873;
96,0.072,-0.226,-0.870;
97,0.083,-0.222,-0.873;
98,0.094,-0.233,-0.877;
99,0.09,-0.237,-0.880;
100,0.083,-0.237,-0.877;
101,0.068,-0.241,-0.884;
102,0.064,-0.241,-0.873;
103,0.068,-0.237,-0.877;
104,0.053,-0.233,-0.870;
105,0.053,-0.211,-0.870;
106,0.045,-0.237,-0.873;
107,0.068,-0.263,-0.877;
108,0.064,-0.286,-0.849;
109,0.075,-0.301,-0.863;
110,0.064,-0.256,-0.863;
111,0.072,-0.222,-0.866;
112,0.087,-0.226,-0.880;
113,0.09,-0.233,-0.887;
114,0.087,-0.263,-0.877;
115,0.083,-0.267,-0.863;
116,0.068,-0.252,-0.845;
