,ax,ay,az
0,,,
1,0.064,0.034,-0.894
2,0.053,0.03,-0.891
3,0.056,0.034,-0.901
4,0.053,0.034,-0.901
5,0.06,0.038,-0.901
6,0.072,0.034,-0.901
7,0.072,0.03,-0.905
8,0.075,0.03,-0.901
9,0.075,0.034,-0.905
10,0.06,0.038,-0.894
11,0.072,0.03,-0.894
12,0.064,0.034,-0.901
13,0.06,0.038,-0.901
14,0.06,0.034,-0.901
15,0.068,0.03,-0.894
16,0.068,0.041,-0.894
17,0.072,0.045,-0.898
18,0.079,0.034,-0.887
19,0.083,0.03,-0.894
20,0.075,0.034,-0.905
21,0.075,0.038,-0.908
22,0.072,0.045,-0.901
23,0.075,0.03,-0.891
24,0.075,0.034,-0.898
25,0.079,0.034,-0.898
26,0.083,0.049,-0.901
27,0.068,0.038,-0.894
28,0.083,0.038,-0.887
29,0.072,0.026,-0.901
30,0.075,0.03,-0.894
31,0.075,0.03,-0.894
32,0.075,0.023,-0.891
33,0.079,0.03,-0.908
34,0.075,0.026,-0.908
35,0.083,0.026,-0.905
36,0.075,0.038,-0.905
37,0.087,0.026,-0.905
38,0.075,0.023,-0.905
39,0.075,0.023,-0.901
40,0.079,0.023,-0.908
41,0.075,0.026,-0.901
42,0.072,0.019,-0.901
43,0.075,0.023,-0.901
44,0.068,0.019,-0.894
45,0.06,0.015,-0.884
46,0.068,0.011,-0.901
47,0.072,0.011,-0.894
48,0.075,0.015,-0.898
49,0.06,0.004,-0.905
50,0.064,0.008,-0.905
51,0.06,0.008,-0.908
52,0.056,0.008,-0.898
53,0.06,0.004,-0.898
54,0.06,0.004,-0.905
55,0.056,0.004,-0.908
56,0.06,0.011,-0.901
57,0.056,-0.004,-0.898
58,0.053,0.0,-0.884
59,0.056,-0.004,-0.901
60,0.068,-0.004,-0.908
61,0.06,0.0,-0.901
62,0.049,-0.008,-0.912
63,0.056,0.0,-0.898
64,0.053,-0.015,-0.898
65,0.053,-0.019,-0.901
66,0.06,-0.008,-0.908
67,0.064,-0.015,-0.919
68,0.068,-0.023,-0.912
69,0.068,-0.034,-0.894
70,0.045,-0.038,-0.891
71,0.045,-0.034,-0.908
72,0.049,-0.034,-0.898
73,0.045,-0.034,-0.898
74,0.053,-0.034,-0.912
75,0.045,-0.038,-0.915
76,0.049,-0.03,-0.912
77,0.034,-0.045,-0.894
78,0.034,-0.045,-0.891
79,0.041,-0.049,-0.912
80,0.041,-0.045,-0.912
81,0.041,-0.041,-0.912
82,0.038,-0.045,-0.898
83,0.041,-0.053,-0.908
84,0.045,-0.045,-0.894
85,0.041,-0.056,-0.905
86,0.034,-0.049,-0.915
87,0.034,-0.049,-0.901
88,0.03,-0.053,-0.901
89,0.034,-0.045,-0.898
90,0.034,-0.053,-0.901
91,0.034,-0.056,-0.901
92,0.038,-0.056,-0.898
93,0.034,-0.064,-0.901
94,0.038,-0.045,-0.908
95,0.038,-0.056,-0.901
96,0.034,-0.06,-0.901
97,0.041,-0.049,-0.908
98,0.03,-0.056,-0.915
99,0.038,-0.041,-0.887
100,0.041,-0.041,-0.898
101,0.034,-0.064,-0.915
102,0.034,-0.045,-0.912
103,0.041,-0.045,-0.901
104,0.038,-0.06,-0.891
105,0.034,-0.053,-0.901
106,0.03,-0.049,-0.912
107,0.034,-0.049,-0.912
108,0.045,-0.049,-0.915
109,0.03,-0.041,-0.891
