,ax,ay,az
0,,,
1,-0.053,-0.038,-0.898;
2,-0.068,-0.038,-0.898;
3,-0.053,-0.045,-0.880;
4,-0.041,-0.056,-0.884;
5,-0.023,-0.056,-0.887;
6,-0.03,-0.049,-0.894;
7,-0.038,-0.06,-0.887;
8,-0.03,-0.064,-0.880;
9,-0.034,-0.053,-0.891;
10,-0.019,-0.026,-0.922;
11,-0.034,-0.023,-0.919;
12,-0.049,-0.041,-0.877;
13,-0.045,-0.049,-0.866;
14,-0.023,-0.049,-0.887;
15,-0.023,-0.034,-0.905;
16,-0.034,-0.026,-0.905;
17,-0.056,-0.019,-0.877;
18,-0.045,-0.03,-0.873;
19,-0.026,-0.023,-0.891;
20,-0.026,-0.015,-0.898;
21,-0.026,-0.03,-0.901;
22,-0.045,-0.026,-0.908;
23,-0.045,-0.06,-0.891;
24,-0.038,-0.049,-0.884;
25,-0.034,-0.038,-0.894;
26,-0.03,-0.03,-0.901;
27,-0.03,-0.03,-0.894;
28,-0.026,-0.03,-0.894;
29,-0.041,-0.03,-0.898;
30,-0.041,-0.03,-0.898;
31,-0.041,-0.015,-0.891;
32,-0.038,-0.023,-0.887;
33,-0.03,-0.034,-0.887;
34,-0.041,-0.026,-0.894;
35,-0.041,-0.034,-0.894;
36,-0.034,-0.038,-0.894;
37,-0.034,-0.03,-0.887;
38,-0.045,-0.019,-0.891;
39,-0.041,-0.026,-0.884;
40,-0.03,-0.026,-0.891;
41,-0.034,-0.03,-0.891;
42,-0.034,-0.026,-0.901;
43,-0.049,-0.011,-0.891;
44,-0.038,-0.023,-0.901;
45,-0.03,-0.015,-0.905;
46,-0.038,-0.023,-0.880;
47,-0.041,-0.03,-0.894;
48,-0.041,-0.038,-0.887;
49,-0.03,-0.034,-0.880;
50,-0.011,-0.034,-0.905;
51,-0.015,-0.023,-0.912;
52,-0.026,-0.03,-0.884;
53,-0.03,-0.026,-0.884;
54,-0.038,-0.023,-0.887;
55,-0.038,-0.019,-0.898;
56,-0.038,-0.041,-0.908;
57,-0.03,-0.038,-0.887;
58,-0.026,-0.045,-0.891;
59,-0.026,-0.041,-0.884;
60,-0.034,-0.034,-0.880;
61,-0.026,-0.034,-0.887;
62,-0.019,-0.049,-0.887;
63,-0.03,-0.056,-0.898;
64,-0.038,-0.056,-0.887;
65,-0.034,-0.041,-0.898;
66,-0.038,-0.038,-0.905;
67,-0.038,-0.019,-0.887;
68,-0.045,-0.03,-0.873;
69,-0.038,-0.045,-0.894;
70,-0.045,-0.045,-0.891;
71,-0.034,-0.045,-0.905;
72,-0.034,-0.056,-0.919;
73,-0.045,-0.064,-0.901;
74,-0.049,-0.075,-0.877;
75,-0.026,-0.068,-0.877;
76,-0.034,-0.049,-0.894;
77,-0.03,-0.03,-0.898;
