,ax,ay,az
0,,,
1,-0.015,0.041,-0.912;
2,-0.023,0.041,-0.870;
3,-0.026,0.015,-0.887;
4,-0.023,0.008,-0.894;
5,-0.023,0.008,-0.880;
6,-0.019,0.019,-0.891;
7,-0.034,0.03,-0.887;
8,-0.03,0.038,-0.873;
9,-0.019,0.049,-0.877;
10,-0.023,0.045,-0.877;
11,-0.019,0.041,-0.891;
12,-0.019,0.041,-0.884;
13,-0.023,0.023,-0.891;
14,-0.023,0.019,-0.894;
15,-0.026,0.03,-0.901;
16,-0.03,0.03,-0.880;
17,-0.023,0.023,-0.884;
18,-0.015,0.034,-0.898;
19,-0.034,0.034,-0.887;
20,-0.026,0.015,-0.894;
21,-0.019,0.019,-0.884;
22,-0.023,0.023,-0.905;
23,-0.034,0.026,-0.884;
24,-0.038,0.03,-0.891;
25,-0.023,0.03,-0.887;
26,-0.026,0.026,-0.887;
27,-0.034,0.038,-0.884;
28,-0.034,0.041,-0.887;
29,-0.03,0.045,-0.887;
30,-0.034,0.026,-0.894;
31,-0.038,0.034,-0.884;
32,-0.034,0.023,-0.887;
33,-0.023,0.026,-0.894;
34,-0.026,0.026,-0.887;
35,-0.026,0.019,-0.887;
36,-0.03,0.026,-0.887;
37,-0.023,0.038,-0.891;
38,-0.026,0.034,-0.894;
39,-0.03,0.03,-0.884;
40,-0.023,0.026,-0.898;
41,-0.026,0.03,-0.891;
42,-0.034,0.034,-0.873;
43,-0.015,0.019,-0.894;
44,-0.03,0.045,-0.891;
45,-0.034,0.034,-0.887;
46,-0.03,0.034,-0.891;
47,-0.03,0.03,-0.880;
48,-0.019,0.034,-0.891;
49,-0.019,0.026,-0.901;
50,-0.041,0.019,-0.884;
51,-0.041,0.019,-0.873;
52,-0.023,0.041,-0.873;
53,-0.019,0.053,-0.894;
54,-0.034,0.034,-0.891;
55,-0.045,0.034,-0.877;
56,-0.038,0.034,-0.884;
57,-0.045,0.034,-0.880;
58,-0.034,0.038,-0.880;
59,-0.038,0.038,-0.894;
60,-0.034,0.023,-0.901;
61,-0.041,0.015,-0.880;
62,-0.034,0.026,-0.891;
63,-0.041,0.03,-0.894;
64,-0.038,0.019,-0.894;
65,-0.034,0.026,-0.887;
66,-0.026,0.03,-0.891;
67,-0.049,0.041,-0.880;
68,-0.038,0.041,-0.884;
69,-0.041,0.041,-0.887;
70,-0.034,0.041,-0.891;
71,-0.03,0.034,-0.898;
72,-0.034,0.034,-0.891;
73,-0.034,0.034,-0.891;
74,-0.03,0.023,-0.887;
75,-0.03,0.023,-0.901;
76,-0.026,0.023,-0.887;
77,-0.03,0.038,-0.901;
78,-0.023,0.034,-0.884;
79,-0.023,0.049,-0.891;
80,-0.008,0.045,-0.898;
81,-0.019,0.034,-0.866;
82,-0.011,0.038,-0.887;
83,-0.011,0.038,-0.891;
84,-0.023,0.041,-0.877;
85,-0.015,0.034,-0.898;
86,-0.008,0.034,-0.887;
87,-0.008,0.045,-0.891;
88,0.0,0.045,-0.898;
89,-0.008,0.045,-0.894;
90,-0.015,0.034,-0.887;
91,-0.004,0.026,-0.887;
92,-0.011,0.026,-0.894;
93,-0.008,0.034,-0.905;
94,-0.008,0.026,-0.891;
95,-0.011,0.03,-0.891;
96,-0.011,0.026,-0.877;
97,0.0,0.026,-0.880;
98,0.008,0.023,-0.908;
99,-0.004,0.03,-0.891;
100,0.008,0.023,-0.894;
101,0.015,0.015,-0.898;
102,0.008,0.011,-0.880;
103,0.0,0.034,-0.880;
104,0.019,0.034,-0.877;
105,0.023,0.045,-0.898;
106,0.008,0.045,-0.877;
107,0.008,0.053,-0.891;
108,0.026,0.053,-0.901;
109,0.019,0.053,-0.894;
110,0.019,0.056,-0.887;
111,0.008,0.041,-0.877;
112,0.026,0.03,-0.887;
113,0.056,0.011,-0.894;
114,0.038,0.038,-0.880;
115,0.011,0.041,-0.912;
116,0.011,0.045,-0.894;
117,0.008,0.06,-0.884;
118,0.011,0.056,-0.873;
119,0.026,0.049,-0.887;
120,0.011,0.049,-0.863;
121,0.011,0.045,-0.912;
122,0.023,0.041,-0.901;
123,0.019,0.045,-0.884;
124,0.011,0.049,-0.877;
125,0.023,0.053,-0.887;
126,0.023,0.049,-0.891;
127,0.011,0.049,-0.891;
128,0.019,0.053,-0.880;
129,0.023,0.06,-0.880;
130,0.03,0.049,-0.887;
131,0.026,0.053,-0.898;
132,0.026,0.056,-0.891;
133,0.034,0.049,-0.884;
134,0.023,0.056,-0.891;
135,0.026,0.056,-0.905;
