,ax,ay,az
0,,,
1,0.143,0.004,-0.859;
2,0.143,0.015,-0.856;
3,0.147,0.015,-0.856;
4,0.139,0.004,-0.859;
5,0.139,-0.004,-0.859;
6,0.143,0.0,-0.856;
7,0.143,0.008,-0.852;
8,0.139,0.0,-0.859;
9,0.147,-0.004,-0.859;
10,0.143,0.0,-0.863;
11,0.143,0.004,-0.852;
12,0.143,0.004,-0.870;
13,0.147,0.008,-0.863;
14,0.139,0.0,-0.866;
15,0.147,0.0,-0.863;
16,0.147,0.008,-0.866;
17,0.147,0.004,-0.863;
18,0.139,-0.004,-0.866;
19,0.143,0.004,-0.866;
20,0.143,0.008,-0.856;
21,0.147,0.011,-0.849;
22,0.143,0.004,-0.863;
23,0.143,0.008,-0.873;
24,0.143,-0.004,-0.877;
25,0.151,0.0,-0.863;
26,0.143,0.008,-0.859;
27,0.136,0.011,-0.859;
28,0.136,0.008,-0.866;
29,0.158,0.0,-0.863;
30,0.143,0.004,-0.863;
31,0.132,0.008,-0.863;
32,0.151,0.0,-0.856;
33,0.154,-0.004,-0.877;
34,0.151,0.004,-0.856;
35,0.139,0.004,-0.866;
36,0.143,0.004,-0.859;
37,0.151,0.0,-0.859;
38,0.162,0.004,-0.859;
39,0.151,0.0,-0.866;
40,0.154,0.004,-0.859;
41,0.151,0.0,-0.859;
42,0.158,0.004,-0.870;
43,0.158,0.004,-0.856;
44,0.162,0.004,-0.852;
45,0.154,0.0,-0.859;
46,0.162,0.0,-0.859;
47,0.158,0.0,-0.866;
48,0.158,-0.004,-0.859;
49,0.162,0.004,-0.863;
50,0.158,0.0,-0.870;
51,0.158,0.0,-0.866;
52,0.162,-0.008,-0.863;
53,0.162,0.0,-0.856;
54,0.162,0.0,-0.856;
55,0.162,0.004,-0.863;
56,0.158,0.0,-0.859;
57,0.162,0.0,-0.859;
58,0.166,0.004,-0.859;
59,0.162,0.004,-0.859;
60,0.154,0.0,-0.856;
61,0.162,0.0,-0.863;
62,0.162,0.008,-0.859;
63,0.166,0.004,-0.870;
64,0.158,0.008,-0.859;
65,0.162,0.008,-0.866;
66,0.154,0.004,-0.856;
67,0.158,0.004,-0.863;
68,0.162,0.0,-0.866;
69,0.154,-0.011,-0.880;
70,0.151,-0.008,-0.870;
71,0.143,-0.008,-0.859;
