,ax,ay,az
0,,,
1,-0.132,-0.008,-0.887;
2,-0.132,-0.004,-0.884;
3,-0.132,-0.008,-0.887;
4,-0.132,-0.004,-0.873;
5,-0.128,-0.011,-0.884;
6,-0.12,-0.011,-0.887;
7,-0.124,-0.008,-0.887;
8,-0.139,0.0,-0.884;
9,-0.136,0.011,-0.880;
10,-0.139,0.004,-0.877;
11,-0.136,-0.008,-0.884;
12,-0.151,0.0,-0.880;
13,-0.139,0.008,-0.866;
14,-0.143,0.008,-0.887;
15,-0.132,0.0,-0.880;
16,-0.136,-0.004,-0.884;
17,-0.139,-0.015,-0.880;
18,-0.139,-0.004,-0.891;
19,-0.136,-0.011,-0.887;
20,-0.147,-0.004,-0.884;
21,-0.139,-0.004,-0.884;
22,-0.147,0.008,-0.887;
23,-0.139,0.004,-0.887;
24,-0.143,-0.004,-0.880;
25,-0.154,0.0,-0.873;
26,-0.151,0.0,-0.873;
27,-0.151,0.0,-0.884;
28,-0.132,-0.008,-0.898;
29,-0.147,0.0,-0.880;
30,-0.151,0.0,-0.873;
31,-0.151,0.0,-0.873;
32,-0.147,0.008,-0.880;
33,-0.136,0.0,-0.880;
34,-0.147,0.011,-0.887;
35,-0.147,0.0,-0.894;
36,-0.143,0.0,-0.891;
37,-0.136,0.0,-0.884;
38,-0.158,0.0,-0.877;
39,-0.151,-0.008,-0.891;
40,-0.151,0.004,-0.880;
41,-0.151,0.008,-0.873;
42,-0.139,0.004,-0.887;
43,-0.132,0.004,-0.887;
44,-0.139,0.0,-0.880;
45,-0.128,0.0,-0.894;
46,-0.132,0.004,-0.901;
47,-0.132,-0.004,-0.898;
48,-0.132,0.008,-0.891;
49,-0.139,0.015,-0.877;
50,-0.124,0.015,-0.887;
51,-0.117,0.015,-0.894;
52,-0.128,0.015,-0.884;
53,-0.124,0.015,-0.880;
54,-0.128,0.019,-0.877;
55,-0.117,0.011,-0.884;
56,-0.109,0.015,-0.884;
57,-0.109,0.015,-0.877;
58,-0.117,0.008,-0.884;
59,-0.098,0.008,-0.894;
60,-0.102,0.008,-0.891;
61,-0.117,0.015,-0.891;
62,-0.117,0.011,-0.877;
63,-0.105,0.015,-0.884;
64,-0.117,0.019,-0.856;
65,-0.102,0.015,-0.873;
66,-0.102,0.019,-0.898;
67,-0.105,0.008,-0.880;
68,-0.102,0.015,-0.877;
69,-0.094,0.015,-0.880;
70,-0.098,0.004,-0.873;
71,-0.098,0.011,-0.887;
72,-0.098,0.011,-0.877;
73,-0.102,0.03,-0.887;
74,-0.083,0.019,-0.891;
75,-0.083,0.023,-0.898;
76,-0.083,0.026,-0.891;
77,-0.098,0.023,-0.880;
78,-0.094,0.019,-0.877;
79,-0.098,0.015,-0.880;
80,-0.094,0.008,-0.880;
81,-0.087,0.004,-0.870;
82,-0.056,0.0,-0.877;
83,-0.041,-0.008,-0.891;
84,-0.03,-0.011,-0.905;
85,-0.053,-0.019,-0.901;
86,-0.038,-0.015,-0.912;
87,-0.064,0.004,-0.901;
88,-0.072,0.023,-0.877;
89,-0.075,0.026,-0.870;
90,-0.064,0.03,-0.866;
91,-0.064,0.03,-0.856;
92,-0.068,0.026,-0.863;
93,-0.072,0.015,-0.894;
94,-0.079,0.004,-0.898;
95,-0.094,0.015,-0.877;
96,-0.072,0.004,-0.894;
97,-0.053,-0.011,-0.870;
98,-0.049,-0.026,-0.880;
99,-0.06,-0.011,-0.880;
100,-0.079,-0.008,-0.891;
101,-0.083,-0.008,-0.908;
102,-0.09,-0.004,-0.915;
103,-0.102,-0.019,-0.877;
104,-0.098,-0.041,-0.863;
105,-0.075,-0.023,-0.880;
106,-0.094,0.0,-0.894;
107,-0.124,-0.004,-0.908;
108,-0.139,-0.008,-0.877;
109,-0.136,-0.004,-0.884;
110,-0.113,-0.008,-0.884;
111,-0.113,0.004,-0.884;
112,-0.136,0.011,-0.891;
113,-0.132,0.004,-0.898;
114,-0.139,0.004,-0.887;
115,-0.143,0.015,-0.873;
116,-0.128,0.004,-0.880;
117,-0.128,0.004,-0.891;
118,-0.132,0.011,-0.898;
119,-0.132,0.004,-0.894;
120,-0.143,0.0,-0.877;
121,-0.151,0.004,-0.891;
122,-0.151,0.004,-0.887;
123,-0.143,-0.011,-0.894;
124,-0.154,0.004,-0.880;
125,-0.158,0.0,-0.880;
126,-0.154,-0.008,-0.877;
127,-0.154,0.0,-0.884;
128,-0.158,-0.004,-0.887;
129,-0.173,0.004,-0.880;
130,-0.177,0.023,-0.873;
131,-0.166,0.008,-0.880;
132,-0.166,0.011,-0.880;
133,-0.181,0.004,-0.870;
134,-0.169,0.004,-0.866;
135,-0.169,-0.008,-0.891;
136,-0.169,-0.008,-0.877;
137,-0.177,-0.008,-0.866;
138,-0.162,0.004,-0.898;
139,-0.162,-0.008,-0.880;
140,-0.169,-0.019,-0.884;
141,-0.173,-0.004,-0.887;
142,-0.173,-0.008,-0.880;
143,-0.173,-0.011,-0.894;
144,-0.166,-0.026,-0.866;
145,-0.154,-0.019,-0.873;
146,-0.154,-0.023,-0.877;
147,-0.166,-0.026,-0.884;
148,-0.158,-0.011,-0.891;
149,-0.158,-0.019,-0.887;
150,-0.166,-0.019,-0.884;
151,-0.169,-0.011,-0.887;
152,-0.177,-0.019,-0.887;
153,-0.169,-0.011,-0.880;
154,-0.162,-0.011,-0.887;
155,-0.169,-0.004,-0.880;
156,-0.173,-0.011,-0.873;
157,-0.154,-0.004,-0.887;
158,-0.158,-0.011,-0.887;
159,-0.154,-0.019,-0.887;
160,-0.162,-0.008,-0.884;
161,-0.162,-0.011,-0.880;
162,-0.166,-0.011,-0.880;
163,-0.162,-0.011,-0.887;
164,-0.162,-0.015,-0.884;
165,-0.158,-0.015,-0.877;
166,-0.162,-0.004,-0.877;
167,-0.162,-0.008,-0.887;
168,-0.154,-0.004,-0.880;
169,-0.162,-0.004,-0.891;
170,-0.162,0.004,-0.887;
171,-0.162,0.004,-0.863;
172,-0.162,0.008,-0.880;
173,-0.151,-0.011,-0.891;
174,-0.147,-0.008,-0.891;
175,-0.154,0.004,-0.880;
176,-0.154,-0.004,-0.877;
177,-0.136,-0.019,-0.894;
178,-0.162,0.0,-0.873;
179,-0.158,-0.015,-0.887;
180,-0.147,-0.008,-0.887;
181,-0.151,-0.011,-0.877;
182,-0.158,0.0,-0.884;
183,-0.158,0.0,-0.859;
184,-0.151,0.008,-0.873;
185,-0.136,-0.004,-0.884;
186,-0.154,0.008,-0.891;
187,-0.151,-0.011,-0.884;
188,-0.139,-0.008,-0.884;
189,-0.151,-0.011,-0.887;
190,-0.151,-0.011,-0.884;
191,-0.147,-0.011,-0.877;
192,-0.147,0.0,-0.891;
193,-0.147,-0.011,-0.880;
194,-0.147,-0.008,-0.894;
195,-0.154,0.004,-0.873;
196,-0.147,-0.015,-0.884;
197,-0.147,-0.011,-0.894;
198,-0.147,-0.008,-0.877;
199,-0.154,-0.008,-0.887;
200,-0.158,-0.008,-0.880;
201,-0.151,0.015,-0.880;
202,-0.151,-0.008,-0.880;
203,-0.162,0.008,-0.884;
204,-0.154,-0.004,-0.873;
205,-0.154,-0.008,-0.884;
206,-0.154,0.0,-0.891;
207,-0.147,-0.008,-0.884;
208,-0.151,-0.004,-0.887;
209,-0.154,-0.011,-0.884;
210,-0.151,-0.004,-0.884;
211,-0.147,-0.008,-0.887;
212,-0.158,-0.004,-0.877;
213,-0.158,0.004,-0.870;
214,-0.154,0.0,-0.887;
215,-0.154,-0.004,-0.887;
216,-0.166,0.0,-0.880;
217,-0.173,-0.004,-0.891;
218,-0.158,0.004,-0.870;
219,-0.154,-0.008,-0.891;
220,-0.154,0.0,-0.880;
221,-0.169,0.0,-0.870;
222,-0.162,0.0,-0.884;
223,-0.162,0.0,-0.873;
224,-0.158,-0.011,-0.877;
225,-0.154,0.004,-0.887;
226,-0.166,0.015,-0.884;
227,-0.162,0.004,-0.884;
228,-0.147,-0.004,-0.877;
229,-0.151,-0.004,-0.880;
230,-0.166,-0.011,-0.898;
231,-0.169,0.0,-0.873;
232,-0.169,0.0,-0.884;
