,ax,ay,az
0,,,
1,0.117,-0.008,-0.866;
2,0.117,0.0,-0.870;
3,0.12,-0.004,-0.870;
4,0.124,0.0,-0.866;
5,0.12,-0.004,-0.870;
6,0.117,-0.008,-0.863;
7,0.117,-0.008,-0.866;
8,0.109,-0.004,-0.873;
9,0.117,0.004,-0.870;
10,0.117,0.004,-0.877;
11,0.117,0.0,-0.877;
12,0.113,0.004,-0.870;
13,0.12,0.0,-0.873;
14,0.113,-0.008,-0.859;
15,0.117,-0.004,-0.873;
16,0.113,0.0,-0.870;
17,0.12,-0.004,-0.877;
18,0.113,0.0,-0.859;
19,0.117,-0.008,-0.866;
20,0.12,0.0,-0.873;
21,0.12,0.004,-0.873;
22,0.113,0.0,-0.877;
23,0.117,0.0,-0.870;
24,0.109,0.004,-0.863;
25,0.12,-0.004,-0.866;
26,0.12,-0.004,-0.870;
27,0.12,0.004,-0.873;
28,0.117,-0.008,-0.863;
29,0.12,-0.004,-0.866;
30,0.117,-0.008,-0.873;
31,0.124,0.004,-0.873;
32,0.12,-0.004,-0.866;
33,0.12,0.0,-0.873;
34,0.12,0.0,-0.873;
35,0.12,-0.004,-0.859;
36,0.113,-0.004,-0.873;
37,0.128,-0.004,-0.873;
38,0.113,0.0,-0.859;
39,0.113,-0.004,-0.866;
40,0.12,0.004,-0.873;
41,0.124,-0.004,-0.873;
42,0.124,-0.004,-0.873;
43,0.12,-0.004,-0.859;
44,0.128,0.004,-0.870;
45,0.12,0.004,-0.873;
46,0.124,-0.008,-0.866;
47,0.124,0.0,-0.856;
48,0.128,0.0,-0.859;
49,0.12,0.0,-0.877;
50,0.136,-0.004,-0.877;
51,0.12,-0.004,-0.870;
52,0.132,0.004,-0.873;
53,0.124,0.0,-0.880;
54,0.132,-0.004,-0.870;
55,0.128,-0.004,-0.866;
56,0.128,-0.004,-0.873;
57,0.128,0.004,-0.856;
58,0.124,0.0,-0.880;
59,0.128,0.0,-0.870;
60,0.139,0.0,-0.870;
61,0.147,-0.004,-0.870;
62,0.151,0.0,-0.873;
63,0.132,0.0,-0.873;
64,0.124,-0.008,-0.873;
65,0.124,-0.004,-0.866;
66,0.132,-0.008,-0.863;
67,0.128,-0.004,-0.863;
68,0.124,-0.011,-0.866;
69,0.12,-0.008,-0.863;
70,0.124,-0.004,-0.873;
71,0.132,-0.004,-0.866;
72,0.12,-0.008,-0.859;
73,0.128,-0.026,-0.877;
74,0.124,-0.004,-0.856;
75,0.113,-0.004,-0.859;
76,0.117,-0.008,-0.873;
77,0.139,-0.004,-0.866;
78,0.124,-0.004,-0.873;
79,0.128,0.0,-0.866;
80,0.124,-0.004,-0.866;
81,0.12,-0.004,-0.863;
82,0.12,-0.004,-0.870;
83,0.12,0.0,-0.866;
84,0.117,-0.004,-0.856;
85,0.117,0.0,-0.866;
86,0.113,-0.004,-0.873;
87,0.128,-0.004,-0.870;
88,0.109,-0.011,-0.866;
89,0.105,-0.008,-0.866;
90,0.113,-0.008,-0.877;
91,0.109,0.0,-0.873;
92,0.117,-0.008,-0.873;
93,0.113,0.0,-0.870;
94,0.102,-0.004,-0.866;
95,0.109,-0.008,-0.877;
96,0.105,-0.008,-0.870;
97,0.105,-0.008,-0.870;
98,0.109,-0.004,-0.873;
99,0.102,-0.004,-0.884;
100,0.102,-0.004,-0.873;
101,0.094,0.0,-0.856;
102,0.105,0.0,-0.870;
103,0.105,-0.004,-0.877;
104,0.098,-0.008,-0.866;
105,0.102,-0.008,-0.873;
106,0.098,-0.011,-0.877;
107,0.094,-0.008,-0.866;
108,0.087,-0.004,-0.873;
109,0.094,-0.004,-0.866;
110,0.09,-0.008,-0.877;
111,0.098,-0.008,-0.870;
112,0.087,0.0,-0.866;
113,0.083,-0.008,-0.873;
114,0.098,-0.004,-0.880;
115,0.105,-0.011,-0.859;
116,0.087,-0.015,-0.887;
117,0.094,-0.008,-0.873;
118,0.083,-0.008,-0.873;
119,0.083,-0.004,-0.870;
120,0.079,-0.008,-0.877;
121,0.094,-0.008,-0.877;
122,0.083,-0.008,-0.870;
123,0.079,-0.004,-0.870;
124,0.079,0.0,-0.870;
125,0.079,-0.011,-0.863;
126,0.09,-0.008,-0.877;
127,0.072,0.0,-0.870;
128,0.075,-0.004,-0.863;
129,0.068,-0.008,-0.884;
130,0.075,-0.011,-0.877;
131,0.083,-0.004,-0.877;
132,0.064,-0.011,-0.870;
133,0.083,-0.011,-0.863;
134,0.072,-0.015,-0.863;
135,0.075,-0.015,-0.877;
136,0.075,-0.004,-0.877;
137,0.075,-0.004,-0.870;
138,0.079,-0.011,-0.877;
139,0.075,-0.004,-0.873;
140,0.079,0.0,-0.870;
141,0.075,-0.008,-0.873;
142,0.075,-0.004,-0.866;
143,0.075,-0.004,-0.873;
144,0.068,-0.004,-0.873;
145,0.072,-0.004,-0.866;
146,0.075,-0.011,-0.870;
147,0.075,-0.008,-0.863;
148,0.068,-0.008,-0.873;
149,0.075,-0.004,-0.866;
150,0.075,0.004,-0.852;
151,0.064,-0.008,-0.856;
152,0.075,-0.019,-0.870;
153,0.075,-0.019,-0.898;
154,0.087,-0.008,-0.887;
155,0.087,0.0,-0.863;
156,0.083,-0.008,-0.873;
157,0.079,-0.004,-0.877;
158,0.09,0.0,-0.880;
159,0.09,-0.011,-0.873;
160,0.09,-0.015,-0.863;
161,0.09,-0.015,-0.877;
162,0.102,-0.008,-0.873;
163,0.102,-0.019,-0.870;
164,0.094,-0.008,-0.870;
165,0.087,-0.015,-0.873;
166,0.102,-0.019,-0.880;
167,0.105,-0.023,-0.884;
168,0.102,-0.011,-0.873;
169,0.09,-0.011,-0.877;
170,0.094,-0.015,-0.866;
171,0.094,-0.015,-0.873;
172,0.098,-0.023,-0.877;
173,0.098,-0.011,-0.877;
174,0.098,-0.019,-0.880;
175,0.098,-0.015,-0.870;
176,0.098,-0.019,-0.870;
177,0.098,-0.011,-0.877;
178,0.105,-0.011,-0.873;
179,0.098,-0.011,-0.870;
180,0.09,-0.008,-0.859;
181,0.098,-0.011,-0.866;
182,0.105,-0.015,-0.870;
183,0.098,-0.011,-0.866;
184,0.105,-0.011,-0.880;
185,0.098,-0.008,-0.873;
186,0.098,-0.004,-0.880;
187,0.109,-0.008,-0.863;
188,0.102,-0.004,-0.873;
189,0.113,-0.004,-0.877;
190,0.109,0.0,-0.887;
191,0.109,-0.008,-0.870;
192,0.12,-0.008,-0.877;
193,0.109,-0.011,-0.870;
194,0.113,-0.011,-0.863;
195,0.105,-0.004,-0.870;
196,0.105,-0.004,-0.870;
197,0.113,-0.004,-0.870;
198,0.12,0.0,-0.877;
199,0.109,-0.004,-0.870;
200,0.12,-0.008,-0.866;
201,0.117,0.0,-0.873;
202,0.117,0.0,-0.866;
203,0.105,-0.008,-0.877;
204,0.113,-0.008,-0.870;
205,0.109,-0.008,-0.870;
206,0.109,0.0,-0.873;
207,0.113,-0.004,-0.877;
208,0.128,0.0,-0.863;
209,0.113,-0.008,-0.866;
210,0.109,-0.008,-0.877;
211,0.117,-0.008,-0.877;
212,0.113,-0.008,-0.877;
213,0.117,-0.011,-0.870;
214,0.113,-0.004,-0.866;
215,0.117,-0.004,-0.859;
216,0.117,-0.008,-0.873;
217,0.117,-0.004,-0.877;
218,0.12,-0.011,-0.859;
219,0.109,-0.008,-0.870;
220,0.117,-0.004,-0.870;
221,0.117,0.0,-0.870;
222,0.113,0.0,-0.870;
223,0.117,-0.008,-0.873;
224,0.12,-0.008,-0.880;
225,0.117,-0.008,-0.870;
226,0.113,-0.008,-0.870;
227,0.124,-0.008,-0.866;
228,0.124,-0.008,-0.873;
229,0.12,-0.011,-0.866;
230,0.12,-0.008,-0.873;
231,0.128,-0.011,-0.873;
232,0.124,-0.008,-0.877;
233,0.12,-0.011,-0.870;
234,0.12,-0.008,-0.866;
235,0.117,-0.004,-0.873;
236,0.12,-0.011,-0.866;
237,0.117,-0.004,-0.870;
238,0.113,-0.015,-0.877;
239,0.128,-0.004,-0.873;
240,0.124,-0.011,-0.877;
241,0.128,-0.004,-0.856;
242,0.117,-0.011,-0.863;
243,0.12,0.0,-0.866;
244,0.124,-0.008,-0.880;
245,0.117,-0.004,-0.870;
246,0.12,-0.004,-0.863;
247,0.124,-0.004,-0.863;
248,0.117,-0.008,-0.873;
249,0.117,-0.008,-0.863;
250,0.12,-0.004,-0.866;
251,0.117,-0.004,-0.873;
252,0.113,-0.011,-0.884;
