,ax,ay,az
0,,,
1,-0.102,0.004,-0.891;
2,-0.094,0.004,-0.880;
3,-0.094,0.015,-0.894;
4,-0.094,0.004,-0.894;
5,-0.102,0.011,-0.901;
6,-0.102,0.0,-0.880;
7,-0.102,0.0,-0.880;
8,-0.109,-0.004,-0.877;
9,-0.094,0.004,-0.901;
10,-0.113,0.023,-0.887;
11,-0.105,0.019,-0.894;
12,-0.098,0.015,-0.887;
13,-0.105,0.011,-0.880;
14,-0.109,0.019,-0.891;
15,-0.113,0.004,-0.880;
16,-0.098,-0.011,-0.894;
17,-0.102,0.0,-0.898;
18,-0.109,0.0,-0.877;
19,-0.105,0.015,-0.887;
20,-0.113,0.011,-0.873;
21,-0.105,0.008,-0.877;
22,-0.094,0.026,-0.884;
23,-0.113,0.026,-0.894;
24,-0.105,0.011,-0.887;
25,-0.102,0.019,-0.877;
26,-0.102,0.0,-0.873;
27,-0.094,0.011,-0.887;
28,-0.109,0.011,-0.894;
29,-0.105,0.015,-0.894;
30,-0.12,0.011,-0.880;
31,-0.102,0.008,-0.877;
32,-0.094,0.019,-0.891;
33,-0.105,0.008,-0.898;
34,-0.117,0.015,-0.887;
35,-0.12,0.015,-0.877;
36,-0.12,0.011,-0.880;
37,-0.113,0.008,-0.894;
38,-0.113,0.011,-0.877;
39,-0.117,0.015,-0.884;
40,-0.128,0.026,-0.887;
41,-0.124,0.038,-0.894;
42,-0.132,0.026,-0.873;
43,-0.12,0.011,-0.887;
44,-0.124,0.015,-0.887;
45,-0.124,0.015,-0.887;
46,-0.124,0.004,-0.873;
47,-0.117,0.011,-0.891;
48,-0.128,0.011,-0.894;
49,-0.132,0.015,-0.894;
50,-0.124,0.015,-0.880;
51,-0.113,0.011,-0.894;
52,-0.124,0.019,-0.898;
53,-0.132,0.011,-0.898;
54,-0.136,0.008,-0.884;
55,-0.139,0.004,-0.863;
56,-0.136,0.004,-0.884;
57,-0.136,-0.004,-0.884;
58,-0.124,-0.004,-0.887;
59,-0.12,-0.004,-0.866;
60,-0.139,0.0,-0.891;
61,-0.124,-0.004,-0.894;
62,-0.124,-0.004,-0.887;
63,-0.136,-0.004,-0.887;
64,-0.147,-0.004,-0.891;
65,-0.147,-0.004,-0.887;
66,-0.139,-0.011,-0.887;
67,-0.136,-0.011,-0.880;
68,-0.143,-0.011,-0.873;
69,-0.151,0.0,-0.894;
70,-0.143,0.011,-0.894;
71,-0.147,0.0,-0.891;
72,-0.143,-0.004,-0.880;
73,-0.147,0.0,-0.894;
74,-0.147,-0.011,-0.880;
75,-0.147,0.008,-0.887;
76,-0.147,0.0,-0.887;
77,-0.151,0.004,-0.884;
78,-0.147,0.008,-0.880;
79,-0.151,0.015,-0.884;
80,-0.139,0.004,-0.887;
81,-0.139,-0.011,-0.884;
82,-0.151,0.004,-0.901;
83,-0.147,0.0,-0.894;
84,-0.143,0.0,-0.887;
85,-0.12,0.004,-0.898;
86,-0.132,0.008,-0.901;
87,-0.154,0.011,-0.873;
88,-0.154,0.008,-0.859;
89,-0.12,0.011,-0.877;
90,-0.098,0.0,-0.887;
91,-0.109,0.011,-0.912;
92,-0.132,0.008,-0.887;
93,-0.124,0.011,-0.877;
94,-0.102,0.011,-0.866;
95,-0.102,0.0,-0.877;
96,-0.098,0.008,-0.873;
97,-0.102,0.008,-0.884;
98,-0.079,0.019,-0.884;
99,-0.072,0.011,-0.894;
100,-0.079,0.008,-0.894;
101,-0.056,0.008,-0.891;
102,-0.072,0.004,-0.912;
103,-0.117,0.011,-0.898;
104,-0.083,0.015,-0.873;
105,-0.079,0.011,-0.880;
106,-0.072,0.004,-0.873;
107,-0.056,0.026,-0.898;
108,-0.064,0.038,-0.894;
109,-0.068,0.03,-0.884;
110,-0.075,0.03,-0.877;
111,-0.064,0.034,-0.884;
112,-0.06,0.038,-0.877;
113,-0.06,0.019,-0.887;
114,-0.068,0.019,-0.877;
115,-0.075,0.03,-0.863;
116,-0.06,0.038,-0.887;
117,-0.064,0.023,-0.884;
118,-0.075,0.019,-0.870;
119,-0.056,0.038,-0.887;
120,-0.056,0.034,-0.905;
121,-0.072,0.038,-0.891;
122,-0.075,0.041,-0.898;
123,-0.072,0.023,-0.898;
124,-0.06,0.026,-0.877;
125,-0.053,0.038,-0.856;
126,-0.034,0.03,-0.898;
127,-0.038,0.03,-0.884;
128,-0.068,0.023,-0.887;
129,-0.079,0.019,-0.891;
130,-0.06,0.023,-0.884;
131,-0.038,0.041,-0.870;
132,-0.023,0.049,-0.894;
133,-0.038,0.041,-0.887;
134,-0.056,0.03,-0.887;
135,-0.041,0.034,-0.873;
136,-0.038,0.045,-0.880;
137,-0.045,0.034,-0.887;
138,-0.045,0.038,-0.901;
139,-0.049,0.038,-0.877;
140,-0.041,0.034,-0.887;
141,-0.03,0.038,-0.887;
142,-0.034,0.03,-0.884;
143,-0.049,0.049,-0.884;
144,-0.041,0.045,-0.887;
145,-0.03,0.041,-0.884;
146,-0.026,0.045,-0.884;
147,-0.045,0.053,-0.887;
148,-0.041,0.045,-0.884;
149,-0.038,0.049,-0.877;
150,-0.038,0.038,-0.870;
151,-0.034,0.045,-0.891;
152,-0.03,0.034,-0.884;
153,-0.034,0.049,-0.880;
154,-0.034,0.041,-0.873;
155,-0.026,0.053,-0.887;
156,-0.034,0.053,-0.905;
157,-0.034,0.038,-0.891;
158,-0.038,0.038,-0.870;
159,-0.026,0.053,-0.887;
160,-0.026,0.041,-0.870;
161,-0.026,0.045,-0.908;
162,-0.03,0.049,-0.905;
163,-0.038,0.045,-0.863;
164,-0.034,0.045,-0.870;
165,-0.015,0.045,-0.901;
166,-0.03,0.034,-0.891;
167,-0.03,0.038,-0.880;
168,-0.038,0.053,-0.877;
169,-0.023,0.041,-0.873;
170,-0.038,0.041,-0.884;
171,-0.041,0.053,-0.894;
172,-0.056,0.041,-0.880;
173,-0.041,0.038,-0.880;
174,-0.045,0.038,-0.898;
175,-0.053,0.049,-0.880;
176,-0.056,0.045,-0.894;
177,-0.06,0.038,-0.880;
178,-0.045,0.041,-0.884;
179,-0.049,0.041,-0.884;
180,-0.03,0.034,-0.891;
181,-0.03,0.038,-0.898;
182,-0.049,0.026,-0.898;
183,-0.049,0.038,-0.891;
184,-0.049,0.049,-0.884;
185,-0.06,0.034,-0.884;
186,-0.056,0.026,-0.880;
187,-0.053,0.049,-0.898;
188,-0.056,0.045,-0.894;
189,-0.056,0.041,-0.884;
190,-0.053,0.034,-0.870;
191,-0.06,0.026,-0.887;
192,-0.06,0.03,-0.887;
193,-0.06,0.038,-0.877;
194,-0.068,0.038,-0.887;
195,-0.068,0.041,-0.884;
196,-0.072,0.034,-0.873;
197,-0.068,0.026,-0.887;
198,-0.072,0.034,-0.884;
199,-0.072,0.038,-0.891;
200,-0.079,0.03,-0.884;
201,-0.075,0.03,-0.873;
202,-0.075,0.034,-0.887;
203,-0.072,0.038,-0.891;
204,-0.079,0.041,-0.887;
205,-0.083,0.026,-0.884;
206,-0.087,0.026,-0.880;
207,-0.083,0.019,-0.866;
208,-0.072,0.023,-0.891;
209,-0.075,0.026,-0.891;
210,-0.083,0.03,-0.894;
211,-0.087,0.026,-0.880;
212,-0.094,0.015,-0.880;
213,-0.087,0.034,-0.894;
214,-0.09,0.034,-0.880;
215,-0.094,0.019,-0.877;
216,-0.09,0.026,-0.877;
217,-0.098,0.023,-0.891;
218,-0.094,0.038,-0.887;
219,-0.094,0.023,-0.877;
220,-0.102,0.023,-0.880;
221,-0.105,0.023,-0.891;
222,-0.098,0.015,-0.894;
223,-0.098,0.015,-0.880;
224,-0.109,0.023,-0.880;
225,-0.105,0.023,-0.880;
226,-0.102,0.034,-0.880;
227,-0.102,0.019,-0.887;
228,-0.117,0.03,-0.887;
229,-0.117,0.011,-0.877;
230,-0.105,0.019,-0.894;
231,-0.113,0.026,-0.887;
232,-0.113,0.019,-0.880;
233,-0.102,0.03,-0.894;
234,-0.102,0.019,-0.870;
235,-0.105,0.019,-0.870;
236,-0.117,0.03,-0.873;
237,-0.098,0.03,-0.891;
238,-0.105,0.023,-0.877;
239,-0.113,0.011,-0.887;
240,-0.109,0.015,-0.891;
241,-0.113,0.023,-0.877;
242,-0.109,0.019,-0.884;
243,-0.113,0.023,-0.894;
244,-0.105,0.03,-0.891;
245,-0.113,0.019,-0.877;
246,-0.109,0.034,-0.884;
247,-0.105,0.023,-0.891;
248,-0.105,0.026,-0.891;
249,-0.113,0.023,-0.894;
250,-0.12,0.015,-0.887;
251,-0.113,0.023,-0.884;
252,-0.12,0.019,-0.894;
253,-0.117,0.019,-0.884;
254,-0.124,0.03,-0.873;
255,-0.124,0.019,-0.887;
256,-0.113,0.015,-0.891;
257,-0.117,0.019,-0.887;
258,-0.12,0.026,-0.891;
259,-0.117,0.03,-0.891;
260,-0.124,0.026,-0.884;
261,-0.12,0.03,-0.873;
262,-0.113,0.023,-0.891;
263,-0.124,0.03,-0.877;
264,-0.113,0.019,-0.891;
265,-0.124,0.03,-0.887;
266,-0.117,0.038,-0.887;
267,-0.109,0.026,-0.905;
268,-0.124,0.019,-0.873;
269,-0.128,0.023,-0.877;
270,-0.117,0.026,-0.894;
271,-0.124,0.026,-0.887;
272,-0.124,0.026,-0.898;
273,-0.124,0.026,-0.880;
274,-0.113,0.026,-0.877;
275,-0.117,0.03,-0.873;
276,-0.12,0.026,-0.898;
277,-0.124,0.034,-0.898;
278,-0.105,0.015,-0.887;
279,-0.117,0.019,-0.891;
280,-0.117,0.023,-0.880;
281,-0.12,0.023,-0.884;
282,-0.113,0.023,-0.887;
283,-0.109,0.03,-0.884;
284,-0.105,0.034,-0.880;
285,-0.105,0.023,-0.901;
286,-0.098,0.041,-0.898;
287,-0.098,0.023,-0.891;
288,-0.105,0.023,-0.873;
289,-0.102,0.034,-0.894;
290,-0.102,0.026,-0.884;
291,-0.098,0.03,-0.884;
292,-0.098,0.034,-0.887;
293,-0.09,0.034,-0.891;
294,-0.09,0.038,-0.880;
295,-0.094,0.038,-0.880;
296,-0.083,0.034,-0.873;
297,-0.079,0.03,-0.891;
298,-0.072,0.034,-0.898;
299,-0.064,0.034,-0.894;
300,-0.072,0.038,-0.891;
301,-0.068,0.038,-0.894;
302,-0.068,0.034,-0.887;
303,-0.068,0.049,-0.873;
304,-0.053,0.038,-0.877;
305,-0.06,0.038,-0.898;
306,-0.056,0.041,-0.891;
307,-0.072,0.045,-0.877;
308,-0.045,0.041,-0.891;
309,-0.038,0.049,-0.880;
310,-0.053,0.038,-0.898;
311,-0.06,0.041,-0.898;
312,-0.068,0.049,-0.891;
313,-0.041,0.049,-0.863;
314,-0.034,0.049,-0.870;
315,-0.034,0.038,-0.894;
316,-0.041,0.041,-0.901;
317,-0.045,0.034,-0.905;
318,-0.056,0.038,-0.873;
319,-0.049,0.041,-0.873;
320,-0.045,0.041,-0.894;
321,-0.041,0.038,-0.887;
322,-0.053,0.041,-0.887;
323,-0.053,0.034,-0.880;
324,-0.038,0.038,-0.887;
325,-0.034,0.049,-0.891;
326,-0.034,0.041,-0.894;
327,-0.045,0.045,-0.887;
328,-0.041,0.038,-0.884;
329,-0.038,0.049,-0.891;
330,-0.03,0.041,-0.887;
331,-0.041,0.034,-0.891;
332,-0.053,0.034,-0.880;
333,-0.041,0.041,-0.870;
334,-0.03,0.041,-0.887;
