,ax,ay,az
0,,,
1,0.072,0.887,0.098
2,0.072,0.891,0.091
3,0.064,0.891,0.091
4,0.068,0.895,0.087
5,0.072,0.887,0.087
6,0.068,0.891,0.101
7,0.087,0.884,0.091
8,0.075,0.887,0.087
9,0.072,0.884,0.094
10,0.072,0.887,0.098
11,0.072,0.884,0.094
12,0.079,0.895,0.098
13,0.075,0.887,0.098
14,0.068,0.887,0.091
15,0.075,0.891,0.101
16,0.072,0.895,0.098
17,0.068,0.887,0.094
18,0.068,0.884,0.105
19,0.06,0.872,0.108
20,0.068,0.884,0.119
21,0.06,0.887,0.115
22,0.068,0.884,0.112
23,0.068,0.88,0.112
24,0.06,0.88,0.119
25,0.064,0.876,0.108
26,0.068,0.872,0.112
27,0.064,0.88,0.119
28,0.068,0.88,0.112
29,0.079,0.887,0.115
30,0.075,0.887,0.119
31,0.068,0.887,0.119
32,0.068,0.88,0.119
33,0.056,0.895,0.108
34,0.068,0.884,0.115
35,0.068,0.884,0.108
36,0.083,0.887,0.115
37,0.079,0.891,0.112
38,0.068,0.884,0.122
39,0.072,0.887,0.105
40,0.068,0.891,0.105
41,0.068,0.895,0.108
42,0.064,0.884,0.101
43,0.072,0.887,0.105
44,0.079,0.884,0.101
45,0.064,0.884,0.101
46,0.068,0.891,0.105
47,0.072,0.887,0.112
48,0.072,0.895,0.108
49,0.072,0.88,0.112
50,0.072,0.88,0.108
51,0.072,0.88,0.112
52,0.098,0.88,0.108
53,0.075,0.887,0.108
54,0.075,0.884,0.105
55,0.083,0.891,0.098
56,0.068,0.884,0.105
57,0.072,0.891,0.094
58,0.068,0.887,0.101
59,0.068,0.887,0.098
60,0.068,0.887,0.108
61,0.079,0.887,0.108
62,0.079,0.884,0.108
63,0.068,0.884,0.101
64,0.06,0.891,0.126
65,0.072,0.884,0.108
66,0.068,0.884,0.112
67,0.068,0.887,0.105
68,0.079,0.887,0.098
69,0.068,0.891,0.108
70,0.064,0.887,0.101
71,0.075,0.876,0.105
72,0.072,0.884,0.108
