,ax,ay,az
0,,,
1,0.294,0.019,-0.835;
2,0.29,0.023,-0.838;
3,0.282,0.034,-0.831;
4,0.286,0.026,-0.842;
5,0.282,0.026,-0.842;
6,0.29,0.03,-0.817;
7,0.286,0.026,-0.831;
8,0.282,0.026,-0.831;
9,0.286,0.026,-0.842;
10,0.279,0.034,-0.835;
11,0.29,0.03,-0.838;
12,0.282,0.038,-0.835;
13,0.29,0.034,-0.835;
14,0.279,0.03,-0.831;
15,0.294,0.026,-0.842;
16,0.286,0.038,-0.835;
17,0.294,0.026,-0.838;
18,0.282,0.034,-0.828;
19,0.282,0.034,-0.831;
20,0.294,0.03,-0.838;
21,0.282,0.034,-0.831;
22,0.279,0.026,-0.828;
23,0.286,0.038,-0.831;
24,0.286,0.03,-0.831;
25,0.286,0.023,-0.838;
26,0.29,0.03,-0.845;
27,0.286,0.056,-0.803;
28,0.275,0.045,-0.828;
29,0.275,0.049,-0.835;
30,0.282,0.038,-0.842;
31,0.286,0.056,-0.835;
32,0.282,0.049,-0.831;
33,0.279,0.041,-0.831;
34,0.279,0.045,-0.842;
35,0.29,0.045,-0.835;
36,0.29,0.049,-0.842;
37,0.282,0.045,-0.835;
38,0.286,0.041,-0.842;
39,0.275,0.049,-0.828;
40,0.263,0.034,-0.835;
41,0.275,0.038,-0.835;
42,0.294,0.041,-0.835;
43,0.275,0.038,-0.849;
44,0.282,0.053,-0.842;
45,0.286,0.049,-0.831;
46,0.275,0.041,-0.835;
47,0.279,0.038,-0.842;
48,0.275,0.045,-0.838;
49,0.275,0.06,-0.845;
50,0.267,0.064,-0.828;
51,0.275,0.06,-0.831;
52,0.275,0.056,-0.838;
53,0.282,0.049,-0.821;
54,0.271,0.041,-0.835;
55,0.271,0.041,-0.842;
56,0.29,0.041,-0.845;
57,0.275,0.041,-0.842;
58,0.282,0.049,-0.845;
59,0.275,0.049,-0.831;
60,0.282,0.045,-0.842;
61,0.282,0.045,-0.849;
62,0.279,0.045,-0.842;
63,0.282,0.034,-0.842;
64,0.279,0.041,-0.835;
65,0.282,0.041,-0.835;
66,0.282,0.045,-0.845;
67,0.286,0.053,-0.824;
68,0.279,0.041,-0.838;
69,0.301,0.038,-0.789;
70,0.279,0.045,-0.835;
71,0.275,0.038,-0.838;
72,0.282,0.049,-0.838;
73,0.275,0.049,-0.828;
74,0.279,0.045,-0.838;
75,0.279,0.045,-0.835;
76,0.275,0.045,-0.838;
77,0.26,0.041,-0.842;
78,0.271,0.053,-0.852;
79,0.275,0.053,-0.835;
80,0.267,0.041,-0.856;
81,0.294,0.056,-0.782;
82,0.271,0.053,-0.835;
83,0.275,0.053,-0.842;
84,0.271,0.049,-0.845;
85,0.275,0.056,-0.821;
86,0.26,0.056,-0.838;
87,0.263,0.056,-0.828;
88,0.26,0.049,-0.838;
89,0.275,0.06,-0.835;
90,0.245,0.041,-0.856;
91,0.279,0.06,-0.824;
92,0.263,0.056,-0.842;
93,0.252,0.056,-0.831;
94,0.26,0.06,-0.842;
95,0.267,0.053,-0.849;
96,0.26,0.049,-0.842;
97,0.252,0.053,-0.845;
98,0.252,0.056,-0.824;
99,0.245,0.064,-0.838;
100,0.248,0.06,-0.842;
101,0.252,0.06,-0.849;
102,0.252,0.064,-0.845;
103,0.248,0.064,-0.831;
104,0.252,0.071,-0.849;
105,0.252,0.071,-0.852;
106,0.248,0.064,-0.852;
107,0.241,0.068,-0.842;
108,0.241,0.064,-0.845;
109,0.241,0.064,-0.845;
110,0.245,0.064,-0.856;
111,0.237,0.075,-0.845;
112,0.241,0.068,-0.845;
113,0.248,0.06,-0.859;
114,0.252,0.075,-0.849;
115,0.233,0.056,-0.849;
116,0.241,0.071,-0.849;
117,0.237,0.071,-0.849;
118,0.233,0.068,-0.838;
119,0.23,0.068,-0.845;
120,0.237,0.075,-0.842;
121,0.241,0.068,-0.849;
122,0.237,0.068,-0.845;
123,0.23,0.068,-0.852;
124,0.233,0.068,-0.845;
125,0.226,0.075,-0.842;
126,0.23,0.071,-0.838;
127,0.23,0.068,-0.845;
128,0.23,0.06,-0.852;
129,0.226,0.068,-0.859;
130,0.222,0.075,-0.852;
131,0.226,0.075,-0.842;
132,0.23,0.075,-0.845;
133,0.226,0.079,-0.838;
134,0.23,0.071,-0.863;
135,0.222,0.079,-0.859;
136,0.226,0.064,-0.849;
137,0.23,0.068,-0.849;
138,0.218,0.068,-0.835;
139,0.215,0.068,-0.845;
140,0.215,0.075,-0.849;
141,0.211,0.064,-0.849;
142,0.211,0.068,-0.852;
143,0.218,0.071,-0.845;
144,0.218,0.064,-0.849;
145,0.215,0.075,-0.849;
146,0.207,0.071,-0.849;
147,0.215,0.071,-0.859;
148,0.211,0.075,-0.856;
149,0.215,0.075,-0.859;
150,0.218,0.068,-0.856;
151,0.211,0.075,-0.852;
152,0.203,0.075,-0.856;
153,0.207,0.075,-0.845;
154,0.207,0.068,-0.852;
155,0.203,0.071,-0.845;
156,0.203,0.068,-0.856;
157,0.211,0.075,-0.863;
158,0.211,0.075,-0.845;
159,0.207,0.075,-0.852;
160,0.215,0.079,-0.845;
161,0.207,0.075,-0.849;
162,0.211,0.071,-0.856;
163,0.207,0.075,-0.845;
164,0.199,0.079,-0.845;
165,0.203,0.075,-0.845;
166,0.203,0.075,-0.849;
167,0.211,0.075,-0.863;
168,0.211,0.071,-0.856;
169,0.211,0.071,-0.856;
170,0.215,0.064,-0.845;
171,0.211,0.068,-0.842;
172,0.218,0.068,-0.863;
173,0.215,0.071,-0.852;
174,0.218,0.075,-0.856;
175,0.23,0.068,-0.849;
176,0.226,0.06,-0.845;
177,0.233,0.06,-0.866;
178,0.218,0.064,-0.852;
179,0.215,0.064,-0.838;
180,0.222,0.068,-0.849;
181,0.218,0.064,-0.856;
182,0.23,0.071,-0.856;
183,0.233,0.075,-0.856;
184,0.237,0.06,-0.842;
185,0.23,0.06,-0.849;
186,0.233,0.06,-0.849;
187,0.237,0.068,-0.852;
188,0.237,0.056,-0.849;
189,0.233,0.064,-0.849;
190,0.233,0.056,-0.845;
191,0.245,0.056,-0.863;
192,0.245,0.06,-0.842;
193,0.233,0.056,-0.845;
194,0.237,0.06,-0.845;
195,0.241,0.068,-0.845;
196,0.245,0.056,-0.842;
197,0.248,0.045,-0.842;
198,0.248,0.056,-0.842;
199,0.252,0.06,-0.849;
200,0.252,0.056,-0.849;
201,0.248,0.053,-0.849;
202,0.252,0.053,-0.849;
203,0.256,0.06,-0.849;
204,0.256,0.056,-0.842;
205,0.256,0.06,-0.842;
206,0.252,0.056,-0.835;
207,0.252,0.056,-0.838;
208,0.26,0.056,-0.835;
209,0.263,0.056,-0.842;
210,0.263,0.053,-0.849;
211,0.26,0.049,-0.845;
212,0.263,0.056,-0.842;
213,0.26,0.056,-0.845;
214,0.26,0.041,-0.838;
215,0.271,0.053,-0.845;
216,0.275,0.049,-0.845;
217,0.267,0.053,-0.835;
218,0.282,0.053,-0.835;
219,0.275,0.053,-0.838;
220,0.271,0.053,-0.842;
221,0.279,0.053,-0.838;
222,0.271,0.049,-0.842;
223,0.279,0.049,-0.842;
224,0.275,0.041,-0.828;
225,0.275,0.049,-0.831;
226,0.279,0.064,-0.838;
227,0.267,0.06,-0.849;
228,0.282,0.049,-0.845;
229,0.271,0.056,-0.842;
230,0.275,0.053,-0.828;
231,0.271,0.049,-0.838;
232,0.279,0.056,-0.828;
233,0.282,0.053,-0.838;
234,0.282,0.045,-0.849;
235,0.279,0.041,-0.835;
236,0.271,0.056,-0.835;
237,0.275,0.056,-0.831;
238,0.279,0.049,-0.835;
239,0.279,0.053,-0.835;
240,0.282,0.053,-0.835;
241,0.275,0.053,-0.835;
242,0.282,0.056,-0.849;
243,0.282,0.056,-0.838;
244,0.271,0.053,-0.828;
245,0.282,0.053,-0.838;
246,0.275,0.049,-0.824;
247,0.279,0.049,-0.831;
248,0.275,0.053,-0.835;
249,0.275,0.053,-0.849;
250,0.282,0.049,-0.845;
251,0.279,0.056,-0.831;
252,0.286,0.049,-0.842;
253,0.275,0.053,-0.842;
254,0.282,0.053,-0.838;
255,0.275,0.056,-0.835;
256,0.275,0.053,-0.842;
257,0.263,0.045,-0.835;
258,0.282,0.034,-0.842;
259,0.275,0.045,-0.838;
260,0.267,0.053,-0.845;
261,0.275,0.053,-0.835;
262,0.286,0.056,-0.838;
263,0.275,0.06,-0.835;
264,0.271,0.053,-0.828;
265,0.279,0.041,-0.835;
266,0.271,0.053,-0.831;
267,0.275,0.053,-0.852;
268,0.271,0.053,-0.835;
269,0.282,0.049,-0.849;
270,0.279,0.06,-0.828;
271,0.271,0.056,-0.824;
272,0.271,0.049,-0.849;
273,0.267,0.049,-0.838;
274,0.275,0.053,-0.842;
275,0.271,0.053,-0.838;
276,0.271,0.056,-0.831;
277,0.282,0.053,-0.838;
278,0.275,0.056,-0.852;
279,0.271,0.056,-0.835;
280,0.275,0.064,-0.838;
281,0.267,0.049,-0.838;
282,0.275,0.053,-0.835;
283,0.279,0.053,-0.852;
284,0.275,0.056,-0.835;
285,0.267,0.064,-0.831;
286,0.275,0.056,-0.828;
287,0.279,0.06,-0.838;
288,0.267,0.049,-0.831;
289,0.267,0.053,-0.842;
290,0.271,0.045,-0.842;
291,0.275,0.056,-0.838;
292,0.282,0.053,-0.838;
293,0.279,0.053,-0.835;
294,0.271,0.06,-0.835;
295,0.271,0.049,-0.835;
296,0.282,0.049,-0.842;
297,0.275,0.056,-0.842;
298,0.271,0.056,-0.828;
299,0.282,0.053,-0.838;
300,0.275,0.045,-0.849;
301,0.282,0.041,-0.845;
302,0.271,0.053,-0.831;
303,0.271,0.053,-0.831;
304,0.282,0.049,-0.835;
305,0.282,0.045,-0.845;
306,0.271,0.056,-0.838;
307,0.271,0.053,-0.838;
308,0.275,0.053,-0.835;
309,0.275,0.056,-0.835;
310,0.279,0.049,-0.831;
311,0.275,0.053,-0.849;
312,0.271,0.053,-0.835;
313,0.279,0.056,-0.831;
314,0.271,0.049,-0.842;
315,0.275,0.049,-0.842;
316,0.271,0.053,-0.838;
317,0.267,0.049,-0.838;
318,0.267,0.056,-0.835;
319,0.263,0.053,-0.845;
320,0.275,0.056,-0.838;
321,0.271,0.068,-0.838;
322,0.26,0.064,-0.838;
