,ax,ay,az
0,,,
1,0.105,0.839,0.234
2,0.109,0.842,0.231
3,0.09,0.835,0.234
4,0.102,0.839,0.234
5,0.098,0.835,0.255
6,0.098,0.827,0.238
7,0.113,0.835,0.248
8,0.113,0.835,0.251
9,0.105,0.846,0.258
10,0.109,0.831,0.255
11,0.113,0.831,0.255
12,0.109,0.82,0.244
13,0.117,0.831,0.251
14,0.109,0.835,0.231
15,0.102,0.85,0.234
16,0.098,0.85,0.231
17,0.087,0.854,0.231
18,0.087,0.846,0.22
19,0.087,0.85,0.21
20,0.094,0.854,0.224
21,0.102,0.85,0.227
22,0.105,0.846,0.231
23,0.102,0.842,0.241
24,0.102,0.839,0.227
25,0.109,0.839,0.241
26,0.105,0.839,0.241
27,0.113,0.835,0.241
28,0.105,0.831,0.241
29,0.113,0.839,0.234
30,0.102,0.839,0.227
31,0.102,0.839,0.231
32,0.094,0.846,0.231
33,0.098,0.839,0.224
34,0.098,0.85,0.231
35,0.094,0.839,0.227
36,0.102,0.846,0.227
37,0.098,0.842,0.227
38,0.098,0.842,0.227
39,0.105,0.839,0.224
40,0.102,0.842,0.227
41,0.098,0.846,0.238
42,0.105,0.842,0.227
43,0.102,0.842,0.231
44,0.105,0.839,0.234
45,0.102,0.835,0.234
46,0.102,0.85,0.234
47,0.094,0.835,0.238
48,0.105,0.842,0.227
49,0.105,0.842,0.227
50,0.105,0.842,0.231
51,0.09,0.842,0.231
52,0.102,0.85,0.227
53,0.098,0.835,0.227
54,0.105,0.835,0.227
55,0.098,0.842,0.234
56,0.105,0.839,0.231
57,0.105,0.839,0.234
58,0.105,0.839,0.238
59,0.105,0.842,0.231
60,0.102,0.839,0.231
61,0.098,0.842,0.238
62,0.102,0.854,0.238
63,0.105,0.85,0.231
64,0.102,0.839,0.234
65,0.098,0.842,0.238
66,0.102,0.846,0.227
67,0.102,0.839,0.231
68,0.098,0.839,0.234
69,0.113,0.839,0.238
70,0.109,0.839,0.234
71,0.102,0.839,0.238
72,0.102,0.842,0.234
73,0.105,0.839,0.241
74,0.098,0.842,0.238
75,0.105,0.839,0.238
76,0.102,0.835,0.234
77,0.109,0.842,0.231
78,0.105,0.839,0.234
79,0.098,0.842,0.234
80,0.094,0.846,0.238
81,0.102,0.831,0.231
82,0.102,0.839,0.238
83,0.098,0.842,0.234
84,0.098,0.846,0.238
85,0.102,0.835,0.241
86,0.094,0.839,0.238
87,0.102,0.835,0.241
88,0.098,0.85,0.244
89,0.105,0.839,0.248
90,0.105,0.839,0.238
91,0.102,0.835,0.234
92,0.105,0.846,0.238
93,0.098,0.839,0.231
94,0.102,0.846,0.238
95,0.098,0.839,0.234
96,0.098,0.835,0.238
97,0.098,0.842,0.231
98,0.102,0.842,0.238
99,0.102,0.835,0.234
100,0.098,0.842,0.234
101,0.109,0.842,0.234
102,0.102,0.835,0.238
103,0.105,0.835,0.248
104,0.098,0.842,0.265
105,0.102,0.835,0.238
106,0.102,0.823,0.238
107,0.094,0.839,0.227
108,0.109,0.839,0.227
109,0.102,0.839,0.231
110,0.098,0.831,0.231
111,0.102,0.846,0.234
112,0.105,0.835,0.238
113,0.109,0.839,0.231
114,0.102,0.85,0.248
115,0.102,0.846,0.238
116,0.09,0.839,0.234
117,0.105,0.835,0.231
118,0.105,0.839,0.241
119,0.105,0.839,0.241
120,0.102,0.842,0.234
121,0.102,0.842,0.227
122,0.102,0.839,0.231
123,0.094,0.839,0.241
124,0.094,0.839,0.238
125,0.105,0.839,0.231
126,0.098,0.842,0.244
127,0.098,0.839,0.238
128,0.094,0.842,0.234
129,0.102,0.839,0.227
130,0.105,0.835,0.234
131,0.102,0.839,0.234
132,0.098,0.842,0.238
133,0.094,0.842,0.241
134,0.094,0.827,0.224
135,0.098,0.835,0.238
136,0.105,0.827,0.224
137,0.094,0.842,0.231
138,0.102,0.842,0.234
139,0.105,0.842,0.251
140,0.094,0.85,0.231
141,0.102,0.839,0.244
142,0.102,0.842,0.234
143,0.098,0.839,0.234
144,0.098,0.835,0.227
145,0.094,0.842,0.234
146,0.098,0.839,0.238
147,0.102,0.842,0.224
148,0.098,0.842,0.234
149,0.098,0.835,0.224
150,0.102,0.839,0.231
151,0.098,0.846,0.231
152,0.102,0.842,0.231
153,0.094,0.839,0.224
154,0.105,0.842,0.227
155,0.094,0.846,0.234
156,0.094,0.839,0.234
157,0.094,0.842,0.227
158,0.098,0.839,0.231
159,0.102,0.846,0.238
160,0.094,0.846,0.231
161,0.102,0.842,0.234
162,0.102,0.839,0.231
163,0.09,0.85,0.22
164,0.094,0.842,0.217
165,0.109,0.85,0.244
166,0.105,0.857,0.227
167,0.098,0.842,0.231
168,0.105,0.835,0.234
169,0.098,0.842,0.227
170,0.105,0.842,0.227
171,0.102,0.842,0.227
172,0.105,0.835,0.231
173,0.102,0.846,0.227
174,0.098,0.842,0.227
175,0.102,0.839,0.231
176,0.098,0.846,0.227
177,0.102,0.842,0.227
178,0.102,0.842,0.227
179,0.113,0.842,0.227
180,0.102,0.842,0.231
181,0.102,0.85,0.238
182,0.102,0.846,0.227
183,0.102,0.842,0.224
184,0.098,0.842,0.22
185,0.098,0.839,0.22
186,0.098,0.846,0.231
187,0.098,0.846,0.238
188,0.094,0.839,0.224
189,0.102,0.839,0.227
190,0.102,0.839,0.231
191,0.102,0.846,0.224
192,0.098,0.839,0.227
193,0.102,0.839,0.231
194,0.102,0.842,0.224
195,0.098,0.846,0.234
196,0.087,0.835,0.224
197,0.094,0.842,0.234
198,0.098,0.854,0.227
199,0.098,0.839,0.227
200,0.098,0.839,0.234
201,0.102,0.846,0.227
202,0.087,0.842,0.248
203,0.098,0.846,0.227
204,0.102,0.846,0.227
205,0.102,0.85,0.231
206,0.098,0.839,0.227
207,0.102,0.842,0.227
208,0.105,0.846,0.234
209,0.102,0.839,0.227
210,0.098,0.835,0.227
211,0.094,0.854,0.224
212,0.094,0.842,0.227
213,0.102,0.846,0.227
214,0.09,0.842,0.231
215,0.094,0.842,0.224
216,0.094,0.842,0.227
217,0.09,0.846,0.227
218,0.094,0.842,0.224
219,0.102,0.846,0.227
220,0.105,0.839,0.224
221,0.102,0.842,0.234
222,0.105,0.846,0.231
223,0.109,0.842,0.231
224,0.098,0.85,0.227
225,0.098,0.839,0.227
226,0.098,0.839,0.227
227,0.102,0.835,0.227
228,0.105,0.839,0.227
229,0.098,0.842,0.234
230,0.105,0.846,0.227
231,0.109,0.842,0.227
232,0.102,0.839,0.227
233,0.105,0.839,0.231
234,0.105,0.842,0.244
235,0.102,0.839,0.227
236,0.094,0.839,0.231
237,0.105,0.846,0.227
238,0.102,0.846,0.234
239,0.094,0.846,0.234
240,0.094,0.839,0.227
241,0.105,0.846,0.231
242,0.102,0.835,0.224
243,0.102,0.842,0.248
244,0.094,0.846,0.227
245,0.098,0.823,0.234
246,0.102,0.842,0.234
247,0.105,0.846,0.231
248,0.102,0.846,0.234
249,0.117,0.842,0.22
250,0.102,0.842,0.227
251,0.102,0.842,0.227
252,0.098,0.839,0.231
253,0.102,0.85,0.238
254,0.109,0.85,0.224
255,0.102,0.839,0.227
256,0.098,0.85,0.231
257,0.117,0.85,0.231
258,0.094,0.839,0.238
259,0.102,0.839,0.234
260,0.113,0.835,0.241
261,0.098,0.846,0.234
262,0.102,0.839,0.238
263,0.105,0.839,0.234
264,0.098,0.842,0.234
265,0.098,0.835,0.234
266,0.105,0.842,0.231
267,0.105,0.842,0.227
268,0.105,0.846,0.234
269,0.105,0.839,0.234
270,0.098,0.839,0.234
271,0.105,0.846,0.241
272,0.102,0.842,0.234
273,0.105,0.839,0.244
274,0.109,0.846,0.234
275,0.105,0.839,0.241
276,0.102,0.846,0.231
277,0.098,0.846,0.244
278,0.102,0.831,0.234
279,0.109,0.842,0.241
280,0.105,0.846,0.22
281,0.102,0.846,0.234
282,0.098,0.842,0.234
283,0.098,0.827,0.227
284,0.102,0.835,0.227
285,0.094,0.846,0.244
286,0.102,0.842,0.241
287,0.102,0.827,0.244
288,0.102,0.835,0.231
289,0.105,0.839,0.227
290,0.105,0.839,0.227
291,0.102,0.839,0.231
292,0.102,0.842,0.231
293,0.094,0.842,0.234
294,0.105,0.846,0.224
295,0.105,0.842,0.234
296,0.105,0.839,0.234
297,0.105,0.842,0.234
298,0.102,0.842,0.227
299,0.102,0.835,0.238
300,0.105,0.839,0.238
301,0.102,0.85,0.234
302,0.098,0.835,0.238
303,0.102,0.839,0.241
304,0.105,0.857,0.251
305,0.105,0.839,0.234
306,0.109,0.842,0.231
307,0.098,0.842,0.227
308,0.094,0.842,0.234
309,0.102,0.842,0.231
310,0.102,0.842,0.227
311,0.105,0.842,0.234
312,0.102,0.835,0.231
313,0.113,0.835,0.234
314,0.102,0.831,0.224
315,0.102,0.827,0.234
316,0.105,0.839,0.234
317,0.105,0.846,0.231
318,0.102,0.85,0.224
319,0.098,0.842,0.238
320,0.094,0.835,0.241
321,0.102,0.839,0.227
322,0.102,0.835,0.238
323,0.109,0.835,0.241
324,0.105,0.839,0.244
325,0.109,0.835,0.227
326,0.102,0.842,0.231
327,0.113,0.846,0.231
328,0.102,0.842,0.244
329,0.105,0.846,0.227
330,0.102,0.842,0.231
331,0.102,0.85,0.238
332,0.105,0.842,0.231
333,0.098,0.835,0.234
334,0.094,0.842,0.234
335,0.098,0.835,0.234
336,0.102,0.839,0.234
337,0.098,0.842,0.227
338,0.102,0.839,0.234
339,0.102,0.846,0.238
340,0.102,0.846,0.238
341,0.102,0.842,0.238
342,0.102,0.835,0.231
343,0.102,0.839,0.231
344,0.102,0.846,0.231
345,0.102,0.842,0.231
346,0.102,0.835,0.234
347,0.094,0.842,0.234
348,0.113,0.842,0.227
349,0.105,0.835,0.234
350,0.102,0.839,0.251
351,0.098,0.846,0.241
352,0.109,0.846,0.231
353,0.098,0.842,0.238
354,0.094,0.827,0.22
355,0.098,0.839,0.234
356,0.098,0.839,0.238
357,0.105,0.835,0.234
358,0.102,0.842,0.238
359,0.098,0.835,0.234
360,0.102,0.839,0.231
361,0.102,0.839,0.227
362,0.098,0.842,0.227
363,0.102,0.842,0.227
364,0.102,0.835,0.227
365,0.102,0.846,0.238
366,0.102,0.842,0.224
367,0.102,0.839,0.227
368,0.102,0.839,0.231
369,0.098,0.839,0.234
370,0.098,0.842,0.227
371,0.105,0.842,0.227
372,0.098,0.839,0.231
373,0.098,0.835,0.234
374,0.102,0.839,0.22
375,0.094,0.839,0.231
376,0.102,0.839,0.234
377,0.102,0.839,0.231
378,0.105,0.842,0.231
379,0.094,0.842,0.231
380,0.105,0.842,0.234
381,0.094,0.846,0.234
382,0.094,0.842,0.224
383,0.102,0.842,0.238
384,0.109,0.85,0.227
385,0.098,0.839,0.22
386,0.102,0.839,0.231
387,0.098,0.827,0.234
388,0.098,0.835,0.224
389,0.098,0.842,0.234
390,0.098,0.85,0.238
391,0.094,0.842,0.231
392,0.098,0.846,0.244
393,0.105,0.835,0.227
394,0.102,0.835,0.234
395,0.098,0.839,0.234
396,0.102,0.839,0.234
397,0.094,0.842,0.234
398,0.098,0.846,0.238
399,0.098,0.842,0.231
400,0.105,0.846,0.231
401,0.098,0.85,0.238
402,0.098,0.842,0.227
403,0.094,0.842,0.234
404,0.098,0.846,0.224
405,0.102,0.835,0.234
406,0.098,0.839,0.241
407,0.102,0.835,0.231
408,0.098,0.85,0.231
409,0.102,0.835,0.227
410,0.105,0.846,0.224
411,0.098,0.842,0.241
412,0.102,0.842,0.241
413,0.098,0.842,0.231
414,0.098,0.85,0.22
415,0.098,0.839,0.231
416,0.098,0.846,0.224
417,0.102,0.842,0.231
418,0.098,0.85,0.231
419,0.102,0.839,0.224
420,0.102,0.842,0.227
421,0.098,0.846,0.22
422,0.098,0.846,0.22
423,0.098,0.839,0.231
424,0.102,0.842,0.234
425,0.102,0.846,0.234
426,0.102,0.846,0.224
427,0.102,0.846,0.227
428,0.102,0.839,0.231
429,0.098,0.846,0.238
430,0.102,0.842,0.231
431,0.109,0.839,0.224
432,0.102,0.854,0.224
433,0.109,0.839,0.227
434,0.102,0.846,0.224
435,0.102,0.842,0.224
436,0.105,0.839,0.227
437,0.098,0.846,0.234
438,0.098,0.842,0.231
439,0.098,0.842,0.231
440,0.109,0.85,0.238
441,0.098,0.846,0.227
442,0.102,0.846,0.227
443,0.102,0.842,0.224
444,0.094,0.842,0.231
445,0.102,0.839,0.234
446,0.102,0.839,0.231
447,0.105,0.842,0.224
448,0.09,0.839,0.241
449,0.102,0.839,0.231
450,0.102,0.842,0.224
451,0.094,0.854,0.234
452,0.102,0.842,0.227
453,0.105,0.842,0.234
454,0.102,0.842,0.227
455,0.098,0.85,0.227
456,0.098,0.842,0.22
457,0.098,0.842,0.22
458,0.09,0.831,0.224
459,0.102,0.839,0.227
460,0.105,0.842,0.234
461,0.098,0.839,0.248
462,0.102,0.839,0.238
463,0.102,0.839,0.234
464,0.105,0.846,0.241
465,0.105,0.846,0.231
466,0.105,0.842,0.231
467,0.105,0.839,0.231
468,0.109,0.835,0.231
469,0.098,0.831,0.238
470,0.102,0.842,0.231
471,0.102,0.839,0.238
472,0.105,0.842,0.238
473,0.109,0.835,0.231
474,0.105,0.842,0.231
475,0.098,0.839,0.227
476,0.102,0.846,0.234
477,0.098,0.839,0.238
478,0.109,0.835,0.224
479,0.102,0.831,0.234
480,0.098,0.85,0.22
481,0.098,0.846,0.234
482,0.102,0.831,0.227
483,0.102,0.846,0.238
484,0.105,0.842,0.227
485,0.102,0.846,0.234
486,0.102,0.835,0.231
487,0.105,0.839,0.234
488,0.102,0.839,0.234
489,0.102,0.85,0.227
490,0.105,0.85,0.227
491,0.105,0.842,0.234
492,0.102,0.842,0.227
493,0.098,0.835,0.227
494,0.102,0.842,0.227
495,0.105,0.842,0.231
496,0.102,0.839,0.234
497,0.098,0.846,0.224
498,0.109,0.842,0.234
499,0.105,0.846,0.231
500,0.102,0.835,0.241
501,0.102,0.842,0.231
502,0.105,0.842,0.234
503,0.102,0.839,0.224
504,0.105,0.842,0.231
505,0.098,0.842,0.238
506,0.109,0.839,0.227
507,0.109,0.839,0.231
508,0.102,0.842,0.238
509,0.102,0.842,0.224
510,0.102,0.846,0.231
511,0.102,0.839,0.231
512,0.105,0.85,0.234
513,0.102,0.846,0.234
