,ax,ay,az
0,,,
1,0.12,-0.023,-0.877;
2,0.128,-0.026,-0.877;
3,0.12,-0.019,-0.880;
4,0.12,-0.011,-0.873;
5,0.124,-0.026,-0.873;
6,0.128,-0.011,-0.873;
7,0.12,-0.008,-0.866;
8,0.12,0.0,-0.880;
9,0.12,0.0,-0.880;
10,0.128,0.004,-0.877;
11,0.132,0.0,-0.877;
12,0.12,-0.008,-0.873;
13,0.117,-0.008,-0.870;
14,0.124,-0.008,-0.877;
15,0.124,-0.008,-0.866;
16,0.124,-0.004,-0.866;
17,0.124,-0.004,-0.877;
18,0.105,-0.004,-0.866;
19,0.128,-0.011,-0.880;
20,0.128,-0.019,-0.891;
21,0.136,-0.026,-0.866;
22,0.124,-0.011,-0.863;
23,0.124,-0.008,-0.877;
24,0.117,-0.008,-0.884;
25,0.12,0.004,-0.873;
26,0.117,-0.004,-0.863;
27,0.12,0.0,-0.863;
28,0.12,0.0,-0.880;
29,0.128,-0.008,-0.873;
30,0.128,-0.011,-0.880;
31,0.136,-0.015,-0.880;
32,0.128,-0.019,-0.873;
33,0.128,-0.019,-0.877;
34,0.136,-0.011,-0.870;
35,0.136,-0.015,-0.877;
36,0.136,-0.011,-0.880;
37,0.139,-0.015,-0.877;
38,0.128,-0.008,-0.873;
39,0.139,-0.015,-0.884;
40,0.139,-0.008,-0.870;
41,0.136,-0.011,-0.870;
42,0.136,-0.019,-0.863;
43,0.143,-0.023,-0.873;
44,0.139,-0.015,-0.870;
45,0.139,-0.015,-0.880;
46,0.139,-0.011,-0.866;
47,0.143,-0.011,-0.877;
48,0.139,-0.023,-0.873;
49,0.139,-0.011,-0.887;
50,0.139,-0.015,-0.877;
51,0.136,-0.015,-0.877;
52,0.143,-0.023,-0.863;
53,0.128,-0.011,-0.866;
54,0.136,-0.011,-0.870;
55,0.154,-0.019,-0.880;
56,0.147,-0.019,-0.863;
57,0.139,-0.011,-0.877;
58,0.132,-0.019,-0.866;
59,0.136,-0.019,-0.873;
