,ax,ay,az
0,,,
1,0.29,0.034,-0.835;
2,0.294,0.041,-0.838;
3,0.297,0.034,-0.838;
4,0.297,0.038,-0.835;
5,0.286,0.041,-0.831;
6,0.294,0.038,-0.835;
7,0.294,0.041,-0.838;
8,0.294,0.045,-0.838;
9,0.286,0.041,-0.821;
10,0.297,0.041,-0.831;
11,0.294,0.034,-0.824;
12,0.29,0.038,-0.828;
13,0.282,0.045,-0.831;
14,0.29,0.038,-0.831;
15,0.29,0.041,-0.835;
16,0.286,0.045,-0.838;
17,0.294,0.038,-0.835;
18,0.294,0.038,-0.838;
19,0.294,0.034,-0.842;
20,0.294,0.038,-0.824;
21,0.294,0.038,-0.835;
22,0.305,0.045,-0.835;
23,0.294,0.038,-0.831;
24,0.294,0.038,-0.835;
25,0.297,0.038,-0.828;
26,0.294,0.034,-0.838;
27,0.297,0.034,-0.842;
28,0.297,0.03,-0.838;
29,0.286,0.049,-0.838;
30,0.29,0.041,-0.824;
31,0.29,0.038,-0.831;
32,0.297,0.041,-0.831;
33,0.29,0.045,-0.821;
34,0.29,0.041,-0.831;
35,0.297,0.038,-0.831;
36,0.294,0.034,-0.831;
37,0.297,0.049,-0.838;
38,0.294,0.034,-0.831;
39,0.301,0.049,-0.835;
40,0.305,0.038,-0.842;
41,0.305,0.041,-0.831;
42,0.29,0.038,-0.838;
43,0.294,0.041,-0.828;
44,0.282,0.045,-0.824;
45,0.297,0.045,-0.828;
46,0.294,0.038,-0.838;
47,0.29,0.034,-0.831;
48,0.29,0.045,-0.838;
49,0.29,0.049,-0.824;
50,0.305,0.049,-0.828;
51,0.297,0.038,-0.838;
52,0.301,0.041,-0.821;
53,0.29,0.049,-0.817;
54,0.286,0.045,-0.835;
55,0.29,0.045,-0.842;
56,0.29,0.045,-0.831;
57,0.29,0.045,-0.831;
58,0.286,0.041,-0.845;
59,0.294,0.045,-0.831;
60,0.294,0.049,-0.828;
61,0.301,0.038,-0.838;
62,0.301,0.045,-0.838;
63,0.297,0.038,-0.831;
64,0.294,0.038,-0.835;
65,0.29,0.045,-0.831;
66,0.29,0.041,-0.831;
67,0.29,0.053,-0.835;
68,0.286,0.056,-0.838;
69,0.279,0.049,-0.821;
70,0.297,0.034,-0.835;
71,0.294,0.041,-0.835;
72,0.29,0.049,-0.817;
73,0.286,0.045,-0.835;
74,0.286,0.056,-0.824;
75,0.29,0.041,-0.831;
76,0.297,0.045,-0.838;
77,0.297,0.045,-0.831;
78,0.29,0.041,-0.835;
79,0.286,0.041,-0.838;
80,0.286,0.038,-0.838;
81,0.282,0.045,-0.842;
82,0.297,0.038,-0.838;
83,0.29,0.041,-0.838;
84,0.286,0.049,-0.831;
85,0.29,0.038,-0.828;
86,0.297,0.045,-0.828;
87,0.297,0.053,-0.831;
88,0.286,0.045,-0.835;
89,0.294,0.045,-0.824;
90,0.29,0.049,-0.835;
91,0.29,0.034,-0.845;
92,0.286,0.041,-0.821;
93,0.279,0.049,-0.835;
94,0.286,0.049,-0.842;
95,0.286,0.06,-0.842;
96,0.286,0.049,-0.845;
97,0.29,0.056,-0.842;
98,0.282,0.053,-0.845;
99,0.286,0.056,-0.842;
100,0.286,0.056,-0.835;
101,0.286,0.049,-0.842;
102,0.282,0.053,-0.835;
103,0.275,0.053,-0.835;
104,0.279,0.056,-0.842;
105,0.279,0.053,-0.842;
106,0.282,0.056,-0.845;
107,0.282,0.056,-0.838;
108,0.271,0.045,-0.849;
109,0.29,0.06,-0.817;
110,0.279,0.053,-0.838;
111,0.279,0.053,-0.842;
112,0.271,0.06,-0.838;
113,0.263,0.064,-0.838;
114,0.267,0.064,-0.835;
115,0.267,0.06,-0.845;
116,0.271,0.06,-0.842;
117,0.271,0.064,-0.852;
118,0.267,0.068,-0.838;
119,0.267,0.064,-0.828;
120,0.275,0.053,-0.852;
121,0.26,0.064,-0.842;
122,0.263,0.068,-0.828;
123,0.263,0.064,-0.835;
124,0.263,0.068,-0.835;
125,0.26,0.06,-0.831;
126,0.252,0.071,-0.842;
127,0.256,0.068,-0.838;
128,0.263,0.053,-0.842;
129,0.263,0.071,-0.859;
130,0.26,0.075,-0.842;
131,0.248,0.06,-0.842;
132,0.252,0.06,-0.852;
133,0.252,0.064,-0.845;
134,0.256,0.071,-0.852;
135,0.252,0.071,-0.835;
136,0.26,0.064,-0.838;
137,0.252,0.056,-0.842;
138,0.252,0.064,-0.845;
139,0.256,0.071,-0.849;
140,0.245,0.071,-0.845;
141,0.245,0.056,-0.842;
142,0.252,0.068,-0.852;
143,0.245,0.075,-0.849;
144,0.248,0.079,-0.838;
145,0.248,0.064,-0.838;
146,0.256,0.064,-0.842;
147,0.248,0.068,-0.852;
148,0.245,0.064,-0.845;
149,0.241,0.075,-0.845;
150,0.241,0.071,-0.842;
