,ax,ay,az
0,,,
1,-0.034,-0.252,-0.880;
2,-0.023,-0.248,-0.887;
3,-0.015,-0.256,-0.880;
4,-0.008,-0.259,-0.877;
5,-0.011,-0.259,-0.877;
6,0.0,-0.259,-0.873;
7,0.0,-0.259,-0.884;
8,-0.004,-0.256,-0.891;
9,-0.008,-0.259,-0.880;
10,-0.004,-0.256,-0.880;
11,-0.015,-0.267,-0.856;
12,-0.004,-0.248,-0.873;
13,-0.008,-0.256,-0.891;
14,-0.004,-0.248,-0.894;
15,-0.011,-0.256,-0.873;
16,-0.019,-0.274,-0.877;
17,-0.019,-0.256,-0.873;
18,-0.023,-0.259,-0.873;
19,-0.019,-0.267,-0.873;
20,-0.008,-0.263,-0.870;
21,-0.008,-0.252,-0.870;
22,-0.008,-0.256,-0.887;
23,0.0,-0.259,-0.880;
24,-0.008,-0.248,-0.870;
25,-0.008,-0.256,-0.887;
26,-0.004,-0.259,-0.884;
27,-0.011,-0.271,-0.873;
28,-0.023,-0.271,-0.898;
29,-0.015,-0.271,-0.863;
30,-0.015,-0.259,-0.870;
31,0.0,-0.244,-0.887;
32,-0.004,-0.259,-0.866;
33,-0.004,-0.263,-0.894;
34,-0.011,-0.263,-0.877;
35,-0.023,-0.252,-0.856;
36,-0.03,-0.256,-0.866;
37,-0.038,-0.259,-0.884;
38,-0.034,-0.274,-0.877;
39,-0.038,-0.263,-0.870;
40,-0.011,-0.267,-0.870;
41,0.0,-0.259,-0.870;
42,0.004,-0.263,-0.880;
43,-0.011,-0.271,-0.901;
44,-0.023,-0.267,-0.877;
45,-0.023,-0.278,-0.873;
46,-0.015,-0.259,-0.870;
47,-0.023,-0.252,-0.891;
48,-0.038,-0.256,-0.891;
49,-0.034,-0.271,-0.863;
50,-0.034,-0.263,-0.870;
51,-0.034,-0.267,-0.877;
52,-0.034,-0.256,-0.887;
53,-0.026,-0.252,-0.894;
54,-0.026,-0.256,-0.887;
55,-0.019,-0.259,-0.852;
56,-0.019,-0.259,-0.863;
57,-0.026,-0.241,-0.870;
58,-0.045,-0.248,-0.884;
59,-0.049,-0.256,-0.887;
60,-0.053,-0.252,-0.877;
61,-0.049,-0.248,-0.873;
62,-0.045,-0.237,-0.877;
63,-0.053,-0.252,-0.870;
64,-0.041,-0.248,-0.866;
65,-0.053,-0.237,-0.891;
66,-0.049,-0.244,-0.877;
67,-0.038,-0.248,-0.891;
68,-0.045,-0.252,-0.891;
69,-0.056,-0.244,-0.870;
70,-0.06,-0.233,-0.863;
71,-0.068,-0.237,-0.880;
72,-0.079,-0.241,-0.891;
73,-0.06,-0.233,-0.873;
74,-0.068,-0.237,-0.873;
75,-0.064,-0.222,-0.884;
76,-0.075,-0.226,-0.891;
77,-0.075,-0.233,-0.870;
78,-0.068,-0.229,-0.880;
79,-0.068,-0.233,-0.866;
80,-0.06,-0.229,-0.891;
81,-0.053,-0.241,-0.877;
82,-0.064,-0.229,-0.877;
83,-0.064,-0.226,-0.884;
84,-0.06,-0.203,-0.891;
85,-0.056,-0.188,-0.884;
86,-0.06,-0.267,-0.915;
87,-0.072,-0.263,-0.849;
88,-0.06,-0.233,-0.838;
89,-0.072,-0.218,-0.887;
90,-0.079,-0.207,-0.891;
91,-0.075,-0.214,-0.887;
92,-0.068,-0.229,-0.884;
93,-0.083,-0.248,-0.901;
94,-0.087,-0.252,-0.887;
95,-0.079,-0.241,-0.859;
96,-0.072,-0.233,-0.845;
97,-0.068,-0.222,-0.898;
98,-0.068,-0.233,-0.894;
99,-0.064,-0.244,-0.873;
100,-0.072,-0.244,-0.880;
101,-0.079,-0.252,-0.863;
102,-0.083,-0.241,-0.859;
103,-0.079,-0.226,-0.873;
104,-0.068,-0.237,-0.880;
105,-0.072,-0.244,-0.887;
106,-0.075,-0.244,-0.887;
107,-0.068,-0.237,-0.873;
108,-0.06,-0.244,-0.859;
109,-0.06,-0.233,-0.873;
110,-0.068,-0.237,-0.891;
111,-0.068,-0.244,-0.870;
112,-0.079,-0.237,-0.863;
113,-0.072,-0.237,-0.866;
114,-0.072,-0.244,-0.880;
115,-0.072,-0.241,-0.887;
116,-0.053,-0.252,-0.891;
117,-0.064,-0.252,-0.870;
118,-0.06,-0.248,-0.884;
119,-0.068,-0.252,-0.884;
120,-0.068,-0.263,-0.877;
121,-0.06,-0.259,-0.884;
122,-0.049,-0.263,-0.873;
123,-0.06,-0.259,-0.873;
124,-0.064,-0.263,-0.866;
125,-0.068,-0.241,-0.880;
126,-0.06,-0.263,-0.877;
127,-0.053,-0.263,-0.877;
128,-0.053,-0.259,-0.880;
129,-0.056,-0.263,-0.866;
130,-0.049,-0.259,-0.887;
131,-0.053,-0.263,-0.866;
132,-0.056,-0.256,-0.880;
133,-0.045,-0.263,-0.880;
134,-0.053,-0.263,-0.852;
135,-0.053,-0.248,-0.859;
136,-0.049,-0.259,-0.859;
137,-0.045,-0.259,-0.891;
138,-0.045,-0.256,-0.908;
139,-0.053,-0.271,-0.894;
140,-0.045,-0.271,-0.863;
141,-0.049,-0.256,-0.859;
142,-0.045,-0.256,-0.880;
143,-0.049,-0.263,-0.880;
144,-0.049,-0.267,-0.877;
145,-0.045,-0.271,-0.877;
146,-0.041,-0.274,-0.873;
147,-0.041,-0.271,-0.877;
148,-0.045,-0.256,-0.877;
149,-0.041,-0.263,-0.866;
150,-0.038,-0.274,-0.866;
151,-0.038,-0.274,-0.863;
152,-0.038,-0.271,-0.877;
153,-0.038,-0.271,-0.884;
154,-0.038,-0.271,-0.877;
155,-0.038,-0.274,-0.880;
156,-0.034,-0.271,-0.880;
157,-0.034,-0.282,-0.877;
158,-0.03,-0.274,-0.863;
159,-0.034,-0.278,-0.866;
160,-0.026,-0.271,-0.870;
161,-0.03,-0.274,-0.880;
162,-0.038,-0.29,-0.880;
163,-0.038,-0.274,-0.880;
164,-0.03,-0.278,-0.880;
165,-0.038,-0.286,-0.866;
166,-0.038,-0.282,-0.863;
167,-0.038,-0.278,-0.884;
168,-0.053,-0.271,-0.856;
169,-0.034,-0.274,-0.877;
170,-0.034,-0.278,-0.859;
171,-0.03,-0.271,-0.873;
172,-0.034,-0.271,-0.859;
173,-0.026,-0.271,-0.877;
174,-0.026,-0.271,-0.880;
175,-0.026,-0.263,-0.880;
176,-0.023,-0.274,-0.877;
177,-0.038,-0.274,-0.870;
178,-0.034,-0.271,-0.880;
179,-0.019,-0.274,-0.877;
180,-0.03,-0.267,-0.880;
181,-0.03,-0.271,-0.870;
182,-0.03,-0.271,-0.863;
183,-0.019,-0.278,-0.880;
184,-0.023,-0.271,-0.866;
185,-0.026,-0.263,-0.877;
186,-0.026,-0.278,-0.870;
187,-0.026,-0.271,-0.873;
188,-0.008,-0.274,-0.863;
189,-0.019,-0.278,-0.877;
190,-0.026,-0.271,-0.877;
191,-0.023,-0.278,-0.880;
192,-0.026,-0.274,-0.880;
193,-0.019,-0.267,-0.880;
194,-0.026,-0.271,-0.870;
195,-0.019,-0.271,-0.880;
196,-0.026,-0.282,-0.866;
197,-0.03,-0.286,-0.873;
198,-0.026,-0.278,-0.873;
199,-0.034,-0.278,-0.873;
200,-0.026,-0.271,-0.870;
201,-0.015,-0.274,-0.880;
202,-0.026,-0.274,-0.866;
203,-0.026,-0.267,-0.866;
204,-0.019,-0.267,-0.887;
