,ax,ay,az
0,,,
1,0.279,-0.132,-0.821;
2,0.279,-0.15,-0.817;
3,0.279,-0.143,-0.824;
4,0.29,-0.128,-0.828;
5,0.297,-0.124,-0.807;
6,0.294,-0.109,-0.810;
7,0.282,-0.117,-0.810;
8,0.301,-0.124,-0.810;
9,0.305,-0.113,-0.835;
10,0.324,-0.109,-0.849;
11,0.324,-0.075,-0.838;
12,0.316,-0.094,-0.817;
13,0.309,-0.102,-0.796;
14,0.279,-0.09,-0.807;
15,0.294,-0.124,-0.824;
16,0.286,-0.165,-0.803;
17,0.267,-0.188,-0.782;
18,0.252,-0.199,-0.817;
19,0.26,-0.192,-0.803;
20,0.267,-0.211,-0.796;
21,0.267,-0.229,-0.810;
22,0.252,-0.229,-0.807;
23,0.252,-0.222,-0.800;
24,0.267,-0.226,-0.807;
25,0.263,-0.203,-0.828;
26,0.252,-0.184,-0.831;
27,0.271,-0.124,-0.814;
28,0.245,-0.124,-0.807;
29,0.218,-0.207,-0.807;
30,0.256,-0.139,-0.856;
31,0.316,-0.143,-0.828;
32,0.301,-0.244,-0.807;
33,0.256,-0.274,-0.807;
34,0.252,-0.271,-0.810;
35,0.271,-0.256,-0.793;
36,0.267,-0.244,-0.789;
37,0.256,-0.293,-0.821;
38,0.271,-0.293,-0.814;
39,0.245,-0.271,-0.824;
40,0.248,-0.248,-0.807;
41,0.271,-0.229,-0.800;
42,0.267,-0.207,-0.789;
43,0.256,-0.218,-0.803;
44,0.263,-0.218,-0.779;
45,0.275,-0.214,-0.821;
46,0.271,-0.18,-0.828;
47,0.279,-0.177,-0.824;
48,0.271,-0.169,-0.807;
49,0.282,-0.184,-0.814;
50,0.252,-0.199,-0.810;
51,0.241,-0.222,-0.789;
52,0.26,-0.184,-0.838;
53,0.271,-0.196,-0.831;
54,0.282,-0.184,-0.821;
55,0.267,-0.18,-0.810;
56,0.29,-0.18,-0.810;
57,0.26,-0.165,-0.814;
58,0.267,-0.199,-0.789;
59,0.256,-0.207,-0.807;
60,0.23,-0.222,-0.814;
61,0.241,-0.199,-0.831;
62,0.279,-0.165,-0.842;
63,0.297,-0.173,-0.831;
64,0.297,-0.165,-0.800;
65,0.286,-0.173,-0.796;
66,0.275,-0.177,-0.810;
67,0.312,-0.165,-0.835;
68,0.335,-0.158,-0.842;
69,0.339,-0.117,-0.835;
70,0.309,-0.083,-0.807;
71,0.279,-0.06,-0.775;
72,0.282,-0.03,-0.768;
73,0.301,-0.049,-0.793;
74,0.309,-0.083,-0.817;
75,0.297,-0.079,-0.828;
76,0.32,-0.045,-0.796;
77,0.335,-0.068,-0.810;
78,0.312,-0.068,-0.835;
79,0.312,-0.064,-0.870;
80,0.324,-0.09,-0.884;
81,0.309,-0.113,-0.842;
82,0.237,-0.113,-0.706;
83,0.226,-0.068,-0.713;
84,0.305,-0.086,-0.793;
85,0.294,-0.135,-0.870;
86,0.275,-0.147,-0.891;
87,0.256,-0.139,-0.870;
88,0.252,-0.147,-0.835;
89,0.245,-0.135,-0.828;
90,0.26,-0.124,-0.821;
91,0.294,-0.135,-0.814;
92,0.275,-0.113,-0.814;
93,0.245,-0.147,-0.807;
94,0.252,-0.18,-0.824;
95,0.279,-0.207,-0.877;
96,0.286,-0.188,-0.849;
97,0.271,-0.169,-0.768;
98,0.23,-0.188,-0.740;
99,0.233,-0.196,-0.817;
100,0.26,-0.214,-0.884;
101,0.297,-0.188,-0.873;
102,0.282,-0.169,-0.807;
103,0.245,-0.154,-0.796;
104,0.263,-0.15,-0.803;
105,0.294,-0.128,-0.793;
106,0.245,-0.18,-0.817;
107,0.245,-0.222,-0.842;
108,0.256,-0.203,-0.824;
109,0.263,-0.196,-0.768;
110,0.245,-0.229,-0.768;
111,0.26,-0.226,-0.789;
112,0.29,-0.211,-0.817;
113,0.297,-0.18,-0.845;
114,0.312,-0.162,-0.828;
115,0.343,-0.162,-0.814;
116,0.312,-0.173,-0.793;
117,0.297,-0.173,-0.793;
118,0.309,-0.173,-0.786;
119,0.331,-0.158,-0.796;
120,0.346,-0.162,-0.817;
121,0.331,-0.162,-0.810;
122,0.327,-0.154,-0.810;
123,0.316,-0.135,-0.817;
124,0.331,-0.135,-0.814;
125,0.339,-0.147,-0.814;
126,0.339,-0.143,-0.789;
127,0.335,-0.139,-0.793;
128,0.335,-0.147,-0.786;
129,0.339,-0.132,-0.800;
130,0.339,-0.12,-0.796;
131,0.324,-0.117,-0.824;
132,0.335,-0.124,-0.821;
133,0.354,-0.117,-0.807;
134,0.346,-0.139,-0.796;
135,0.327,-0.124,-0.793;
136,0.331,-0.124,-0.796;
137,0.346,-0.132,-0.803;
138,0.346,-0.132,-0.803;
139,0.339,-0.139,-0.814;
140,0.343,-0.135,-0.821;
141,0.339,-0.124,-0.803;
142,0.343,-0.132,-0.789;
143,0.339,-0.128,-0.821;
144,0.335,-0.139,-0.800;
145,0.343,-0.143,-0.807;
146,0.339,-0.135,-0.796;
147,0.335,-0.135,-0.796;
148,0.339,-0.154,-0.810;
149,0.339,-0.147,-0.810;
150,0.335,-0.143,-0.803;
151,0.331,-0.135,-0.800;
152,0.339,-0.132,-0.800;
153,0.343,-0.124,-0.796;
154,0.339,-0.124,-0.793;
155,0.331,-0.124,-0.800;
156,0.343,-0.117,-0.810;
157,0.343,-0.098,-0.810;
158,0.343,-0.12,-0.824;
159,0.358,-0.102,-0.810;
160,0.365,-0.113,-0.789;
161,0.335,-0.124,-0.782;
162,0.331,-0.15,-0.779;
163,0.343,-0.143,-0.775;
164,0.358,-0.147,-0.793;
165,0.373,-0.143,-0.807;
166,0.365,-0.147,-0.800;
167,0.361,-0.162,-0.800;
168,0.354,-0.169,-0.793;
169,0.358,-0.165,-0.786;
170,0.361,-0.15,-0.782;
171,0.358,-0.147,-0.786;
172,0.346,-0.143,-0.803;
173,0.354,-0.139,-0.800;
174,0.361,-0.15,-0.807;
175,0.354,-0.135,-0.789;
176,0.343,-0.124,-0.807;
177,0.35,-0.139,-0.800;
178,0.35,-0.147,-0.793;
179,0.361,-0.135,-0.775;
180,0.358,-0.15,-0.789;
181,0.354,-0.147,-0.789;
182,0.354,-0.147,-0.800;
183,0.354,-0.139,-0.796;
184,0.35,-0.162,-0.800;
185,0.354,-0.147,-0.810;
186,0.365,-0.147,-0.793;
187,0.365,-0.135,-0.789;
188,0.358,-0.139,-0.765;
189,0.35,-0.143,-0.796;
190,0.361,-0.143,-0.807;
191,0.354,-0.139,-0.803;
192,0.354,-0.139,-0.803;
193,0.35,-0.143,-0.793;
194,0.358,-0.147,-0.793;
195,0.358,-0.139,-0.789;
196,0.354,-0.139,-0.793;
197,0.361,-0.147,-0.800;
198,0.358,-0.15,-0.796;
199,0.361,-0.154,-0.779;
200,0.365,-0.143,-0.786;
201,0.358,-0.139,-0.796;
202,0.365,-0.147,-0.789;
203,0.365,-0.147,-0.793;
204,0.361,-0.139,-0.800;
205,0.365,-0.132,-0.807;
206,0.361,-0.139,-0.786;
207,0.361,-0.139,-0.786;
208,0.361,-0.147,-0.796;
209,0.361,-0.147,-0.793;
210,0.369,-0.143,-0.803;
211,0.369,-0.143,-0.793;
212,0.369,-0.139,-0.793;
213,0.376,-0.135,-0.786;
214,0.369,-0.147,-0.793;
215,0.369,-0.139,-0.793;
216,0.365,-0.135,-0.800;
217,0.373,-0.139,-0.786;
218,0.376,-0.147,-0.789;
219,0.376,-0.147,-0.793;
220,0.369,-0.147,-0.800;
221,0.361,-0.143,-0.793;
222,0.369,-0.158,-0.786;
223,0.373,-0.147,-0.775;
224,0.361,-0.143,-0.782;
225,0.358,-0.15,-0.800;
226,0.369,-0.15,-0.807;
227,0.369,-0.158,-0.796;
228,0.373,-0.158,-0.786;
229,0.369,-0.15,-0.775;
230,0.365,-0.154,-0.779;
231,0.365,-0.139,-0.800;
232,0.361,-0.135,-0.800;
233,0.365,-0.135,-0.779;
234,0.365,-0.135,-0.782;
235,0.373,-0.143,-0.782;
236,0.38,-0.158,-0.796;
237,0.369,-0.147,-0.796;
238,0.361,-0.147,-0.775;
239,0.369,-0.169,-0.789;
240,0.365,-0.169,-0.782;
241,0.358,-0.154,-0.796;
242,0.354,-0.158,-0.807;
243,0.35,-0.15,-0.793;
244,0.365,-0.139,-0.786;
245,0.365,-0.143,-0.775;
246,0.35,-0.147,-0.796;
247,0.343,-0.139,-0.796;
248,0.354,-0.147,-0.793;
249,0.361,-0.15,-0.768;
250,0.35,-0.143,-0.779;
251,0.35,-0.154,-0.782;
252,0.354,-0.158,-0.789;
253,0.358,-0.147,-0.789;
254,0.35,-0.158,-0.786;
255,0.35,-0.165,-0.793;
256,0.354,-0.162,-0.789;
257,0.35,-0.143,-0.782;
258,0.346,-0.154,-0.782;
259,0.35,-0.147,-0.793;
260,0.354,-0.15,-0.800;
261,0.343,-0.154,-0.793;
262,0.354,-0.154,-0.786;
263,0.35,-0.154,-0.789;
264,0.358,-0.15,-0.796;
265,0.358,-0.143,-0.800;
266,0.361,-0.154,-0.796;
267,0.35,-0.147,-0.793;
268,0.358,-0.158,-0.803;
269,0.35,-0.143,-0.793;
270,0.35,-0.15,-0.786;
271,0.354,-0.15,-0.793;
272,0.354,-0.162,-0.796;
273,0.35,-0.158,-0.782;
274,0.346,-0.158,-0.782;
275,0.35,-0.15,-0.796;
276,0.354,-0.143,-0.793;
277,0.346,-0.147,-0.796;
278,0.343,-0.135,-0.803;
279,0.358,-0.154,-0.793;
280,0.361,-0.154,-0.796;
281,0.35,-0.143,-0.793;
282,0.35,-0.15,-0.796;
283,0.35,-0.154,-0.782;
284,0.354,-0.15,-0.789;
285,0.361,-0.154,-0.796;
286,0.354,-0.154,-0.793;
287,0.358,-0.147,-0.789;
288,0.35,-0.154,-0.800;
289,0.354,-0.143,-0.789;
290,0.354,-0.143,-0.800;
291,0.361,-0.143,-0.807;
292,0.354,-0.147,-0.807;
293,0.358,-0.135,-0.793;
294,0.35,-0.15,-0.793;
295,0.354,-0.143,-0.793;
296,0.361,-0.154,-0.786;
297,0.35,-0.143,-0.789;
298,0.35,-0.15,-0.793;
299,0.339,-0.147,-0.796;
300,0.358,-0.147,-0.800;
301,0.346,-0.135,-0.796;
302,0.35,-0.143,-0.800;
303,0.346,-0.143,-0.796;
304,0.354,-0.135,-0.803;
305,0.35,-0.147,-0.793;
306,0.358,-0.135,-0.789;
307,0.354,-0.139,-0.786;
308,0.358,-0.135,-0.796;
309,0.346,-0.147,-0.803;
310,0.35,-0.132,-0.803;
311,0.358,-0.135,-0.800;
312,0.358,-0.139,-0.789;
313,0.358,-0.143,-0.786;
314,0.358,-0.139,-0.789;
315,0.354,-0.139,-0.786;
316,0.354,-0.135,-0.789;
317,0.358,-0.143,-0.796;
318,0.361,-0.147,-0.800;
319,0.354,-0.139,-0.796;
320,0.354,-0.139,-0.796;
321,0.354,-0.12,-0.793;
322,0.35,-0.132,-0.789;
323,0.361,-0.135,-0.814;
324,0.369,-0.139,-0.786;
325,0.35,-0.135,-0.793;
326,0.361,-0.135,-0.782;
327,0.361,-0.132,-0.789;
328,0.373,-0.139,-0.793;
329,0.373,-0.139,-0.782;
330,0.361,-0.135,-0.782;
331,0.365,-0.143,-0.793;
332,0.361,-0.139,-0.796;
333,0.365,-0.132,-0.786;
334,0.365,-0.139,-0.789;
335,0.358,-0.12,-0.796;
336,0.361,-0.132,-0.800;
337,0.365,-0.135,-0.793;
338,0.365,-0.128,-0.793;
339,0.369,-0.139,-0.782;
340,0.369,-0.132,-0.789;
341,0.369,-0.132,-0.786;
342,0.365,-0.128,-0.793;
343,0.361,-0.128,-0.803;
344,0.358,-0.128,-0.800;
345,0.361,-0.128,-0.796;
346,0.369,-0.143,-0.793;
347,0.369,-0.132,-0.786;
348,0.369,-0.128,-0.782;
349,0.369,-0.128,-0.796;
350,0.373,-0.132,-0.803;
351,0.369,-0.128,-0.782;
352,0.376,-0.124,-0.789;
353,0.369,-0.12,-0.793;
354,0.369,-0.12,-0.793;
355,0.365,-0.128,-0.782;
356,0.365,-0.124,-0.786;
357,0.373,-0.128,-0.789;
358,0.369,-0.117,-0.793;
359,0.369,-0.124,-0.796;
360,0.365,-0.132,-0.786;
361,0.373,-0.124,-0.796;
362,0.376,-0.124,-0.786;
363,0.38,-0.12,-0.779;
364,0.38,-0.135,-0.782;
365,0.369,-0.128,-0.800;
366,0.369,-0.124,-0.786;
367,0.369,-0.135,-0.786;
368,0.358,-0.132,-0.796;
369,0.358,-0.12,-0.786;
370,0.373,-0.132,-0.796;
371,0.373,-0.128,-0.796;
372,0.365,-0.128,-0.789;
373,0.361,-0.12,-0.782;
374,0.365,-0.12,-0.800;
375,0.369,-0.128,-0.779;
376,0.373,-0.128,-0.786;
377,0.365,-0.12,-0.800;
378,0.369,-0.12,-0.789;
379,0.384,-0.128,-0.800;
380,0.373,-0.12,-0.782;
381,0.358,-0.124,-0.775;
382,0.361,-0.128,-0.789;
383,0.376,-0.132,-0.789;
384,0.376,-0.128,-0.803;
385,0.361,-0.128,-0.793;
386,0.361,-0.128,-0.796;
387,0.361,-0.109,-0.800;
388,0.369,-0.117,-0.796;
389,0.365,-0.124,-0.796;
390,0.373,-0.12,-0.786;
391,0.365,-0.12,-0.789;
392,0.35,-0.132,-0.800;
393,0.354,-0.143,-0.789;
394,0.358,-0.15,-0.786;
395,0.369,-0.132,-0.786;
396,0.369,-0.124,-0.782;
397,0.369,-0.117,-0.789;
398,0.365,-0.109,-0.800;
399,0.358,-0.117,-0.793;
400,0.369,-0.12,-0.800;
401,0.365,-0.128,-0.793;
402,0.365,-0.135,-0.789;
403,0.361,-0.124,-0.793;
404,0.369,-0.128,-0.793;
405,0.373,-0.132,-0.786;
406,0.369,-0.139,-0.796;
407,0.369,-0.132,-0.803;
408,0.369,-0.132,-0.789;
409,0.369,-0.135,-0.789;
410,0.369,-0.128,-0.789;
411,0.365,-0.128,-0.796;
412,0.358,-0.132,-0.796;
413,0.369,-0.143,-0.796;
414,0.369,-0.143,-0.796;
415,0.358,-0.143,-0.786;
416,0.361,-0.154,-0.796;
417,0.358,-0.143,-0.793;
418,0.365,-0.139,-0.793;
419,0.361,-0.124,-0.793;
420,0.358,-0.12,-0.789;
421,0.369,-0.12,-0.793;
422,0.365,-0.132,-0.793;
423,0.35,-0.132,-0.796;
424,0.35,-0.143,-0.789;
425,0.358,-0.147,-0.796;
426,0.358,-0.139,-0.782;
427,0.354,-0.143,-0.779;
428,0.361,-0.15,-0.793;
429,0.365,-0.143,-0.796;
430,0.35,-0.147,-0.789;
431,0.361,-0.139,-0.800;
432,0.376,-0.139,-0.810;
433,0.369,-0.135,-0.800;
434,0.35,-0.128,-0.789;
435,0.346,-0.128,-0.793;
436,0.354,-0.139,-0.786;
437,0.354,-0.124,-0.793;
438,0.361,-0.132,-0.793;
439,0.358,-0.135,-0.786;
440,0.358,-0.139,-0.793;
441,0.358,-0.135,-0.800;
442,0.358,-0.128,-0.796;
443,0.354,-0.132,-0.796;
444,0.346,-0.139,-0.789;
445,0.354,-0.147,-0.803;
446,0.354,-0.135,-0.800;
447,0.354,-0.143,-0.789;
448,0.343,-0.143,-0.800;
449,0.358,-0.113,-0.793;
450,0.361,-0.113,-0.800;
451,0.365,-0.128,-0.807;
452,0.358,-0.154,-0.803;
453,0.354,-0.162,-0.786;
454,0.35,-0.147,-0.800;
455,0.361,-0.147,-0.793;
456,0.354,-0.143,-0.800;
457,0.354,-0.15,-0.796;
458,0.361,-0.139,-0.803;
459,0.35,-0.143,-0.796;
460,0.365,-0.147,-0.789;
461,0.358,-0.139,-0.786;
462,0.358,-0.139,-0.789;
463,0.361,-0.139,-0.793;
464,0.365,-0.139,-0.800;
465,0.361,-0.147,-0.789;
466,0.361,-0.154,-0.793;
467,0.354,-0.147,-0.803;
468,0.35,-0.143,-0.793;
469,0.365,-0.143,-0.807;
470,0.373,-0.147,-0.796;
471,0.365,-0.15,-0.796;
472,0.358,-0.15,-0.789;
473,0.358,-0.158,-0.789;
474,0.365,-0.147,-0.796;
475,0.365,-0.158,-0.789;
476,0.361,-0.154,-0.793;
477,0.361,-0.162,-0.796;
478,0.358,-0.158,-0.803;
479,0.35,-0.158,-0.793;
480,0.361,-0.162,-0.779;
481,0.354,-0.158,-0.789;
482,0.346,-0.158,-0.793;
483,0.361,-0.169,-0.814;
484,0.354,-0.169,-0.803;
485,0.354,-0.147,-0.782;
486,0.35,-0.165,-0.775;
487,0.335,-0.165,-0.786;
488,0.35,-0.173,-0.786;
489,0.343,-0.162,-0.803;
490,0.346,-0.162,-0.803;
491,0.35,-0.154,-0.789;
492,0.354,-0.165,-0.779;
493,0.339,-0.15,-0.789;
494,0.343,-0.162,-0.800;
495,0.339,-0.165,-0.800;
496,0.339,-0.162,-0.800;
497,0.346,-0.158,-0.782;
498,0.339,-0.169,-0.796;
499,0.32,-0.158,-0.800;
500,0.324,-0.147,-0.796;
501,0.324,-0.158,-0.786;
502,0.32,-0.154,-0.800;
503,0.343,-0.162,-0.800;
504,0.35,-0.158,-0.810;
505,0.343,-0.158,-0.810;
506,0.339,-0.165,-0.789;
507,0.324,-0.169,-0.789;
508,0.331,-0.162,-0.803;
509,0.327,-0.162,-0.803;
510,0.339,-0.162,-0.793;
511,0.335,-0.169,-0.793;
512,0.331,-0.165,-0.786;
513,0.327,-0.158,-0.796;
514,0.327,-0.15,-0.803;
515,0.335,-0.162,-0.796;
516,0.335,-0.147,-0.810;
517,0.343,-0.154,-0.800;
518,0.335,-0.15,-0.803;
519,0.331,-0.158,-0.789;
520,0.327,-0.162,-0.796;
521,0.331,-0.165,-0.803;
522,0.327,-0.165,-0.800;
523,0.331,-0.165,-0.796;
524,0.339,-0.158,-0.800;
525,0.331,-0.169,-0.793;
526,0.331,-0.15,-0.800;
527,0.324,-0.154,-0.807;
528,0.331,-0.143,-0.800;
529,0.346,-0.165,-0.821;
530,0.335,-0.158,-0.800;
531,0.331,-0.15,-0.803;
532,0.331,-0.154,-0.796;
533,0.327,-0.15,-0.803;
534,0.327,-0.15,-0.810;
535,0.335,-0.15,-0.803;
536,0.343,-0.147,-0.810;
537,0.343,-0.147,-0.803;
538,0.335,-0.147,-0.807;
539,0.327,-0.15,-0.793;
540,0.343,-0.162,-0.803;
541,0.339,-0.154,-0.800;
542,0.354,-0.154,-0.807;
543,0.331,-0.147,-0.803;
544,0.339,-0.154,-0.793;
545,0.343,-0.139,-0.800;
546,0.346,-0.143,-0.796;
547,0.339,-0.135,-0.793;
548,0.335,-0.139,-0.800;
549,0.339,-0.143,-0.803;
550,0.346,-0.135,-0.796;
551,0.327,-0.143,-0.793;
552,0.343,-0.147,-0.793;
553,0.343,-0.143,-0.810;
554,0.354,-0.139,-0.796;
555,0.346,-0.147,-0.803;
556,0.343,-0.139,-0.800;
557,0.346,-0.162,-0.803;
558,0.346,-0.15,-0.786;
559,0.35,-0.139,-0.793;
560,0.343,-0.154,-0.789;
561,0.35,-0.143,-0.800;
562,0.346,-0.154,-0.803;
563,0.354,-0.15,-0.793;
564,0.35,-0.135,-0.796;
565,0.354,-0.143,-0.796;
566,0.354,-0.147,-0.803;
567,0.339,-0.147,-0.793;
568,0.354,-0.15,-0.803;
569,0.35,-0.147,-0.793;
570,0.354,-0.143,-0.793;
571,0.354,-0.143,-0.803;
572,0.346,-0.147,-0.793;
573,0.346,-0.139,-0.796;
574,0.346,-0.147,-0.793;
575,0.354,-0.147,-0.789;
576,0.343,-0.147,-0.796;
577,0.35,-0.147,-0.803;
578,0.361,-0.154,-0.796;
579,0.346,-0.147,-0.786;
580,0.335,-0.135,-0.793;
581,0.343,-0.143,-0.800;
582,0.354,-0.15,-0.800;
583,0.358,-0.132,-0.803;
584,0.335,-0.139,-0.793;
585,0.346,-0.132,-0.796;
586,0.354,-0.143,-0.779;
587,0.346,-0.147,-0.800;
588,0.343,-0.15,-0.796;
589,0.343,-0.147,-0.800;
590,0.346,-0.143,-0.803;
591,0.346,-0.139,-0.800;
592,0.335,-0.147,-0.800;
593,0.343,-0.139,-0.786;
594,0.343,-0.147,-0.803;
595,0.346,-0.143,-0.800;
596,0.343,-0.135,-0.803;
597,0.346,-0.128,-0.803;
598,0.354,-0.135,-0.800;
599,0.35,-0.147,-0.789;
600,0.343,-0.147,-0.800;
601,0.354,-0.147,-0.796;
602,0.343,-0.143,-0.796;
603,0.339,-0.139,-0.796;
604,0.35,-0.132,-0.807;
605,0.346,-0.15,-0.800;
606,0.354,-0.139,-0.796;
607,0.346,-0.135,-0.803;
608,0.358,-0.147,-0.810;
