,ax,ay,az
0,,,
1,0.181,0.82,-0.328
2,0.177,0.827,-0.346
3,0.173,0.816,-0.342
4,0.177,0.816,-0.339
5,0.177,0.82,-0.339
6,0.173,0.82,-0.332
7,0.158,0.82,-0.332
8,0.181,0.816,-0.339
9,0.173,0.812,-0.335
10,0.166,0.808,-0.349
11,0.169,0.82,-0.342
12,0.169,0.823,-0.332
13,0.181,0.816,-0.342
14,0.173,0.82,-0.328
15,0.173,0.82,-0.342
16,0.173,0.816,-0.335
17,0.166,0.823,-0.318
18,0.188,0.82,-0.342
19,0.177,0.812,-0.346
20,0.177,0.816,-0.332
21,0.181,0.823,-0.349
22,0.181,0.816,-0.335
23,0.177,0.82,-0.339
24,0.177,0.823,-0.342
25,0.173,0.831,-0.339
26,0.177,0.823,-0.339
27,0.173,0.827,-0.342
28,0.173,0.823,-0.335
29,0.173,0.82,-0.339
30,0.177,0.816,-0.335
31,0.173,0.816,-0.328
32,0.177,0.82,-0.332
33,0.173,0.823,-0.328
34,0.177,0.82,-0.321
35,0.177,0.827,-0.325
36,0.188,0.823,-0.328
37,0.181,0.82,-0.325
38,0.177,0.823,-0.328
39,0.181,0.823,-0.328
40,0.173,0.82,-0.321
41,0.173,0.816,-0.335
42,0.166,0.831,-0.311
43,0.177,0.816,-0.325
44,0.177,0.816,-0.339
45,0.188,0.823,-0.311
46,0.177,0.823,-0.318
47,0.169,0.816,-0.321
48,0.181,0.823,-0.3
49,0.169,0.835,-0.311
50,0.166,0.827,-0.314
51,0.166,0.816,-0.311
52,0.162,0.827,-0.325
53,0.169,0.835,-0.318
54,0.177,0.839,-0.321
55,0.166,0.842,-0.311
56,0.158,0.812,-0.3
57,0.173,0.835,-0.307
58,0.173,0.827,-0.304
59,0.173,0.835,-0.293
60,0.181,0.831,-0.307
61,0.173,0.835,-0.311
62,0.169,0.827,-0.307
63,0.181,0.82,-0.314
64,0.181,0.823,-0.304
65,0.184,0.827,-0.307
66,0.173,0.835,-0.307
67,0.177,0.831,-0.307
68,0.177,0.831,-0.304
69,0.173,0.835,-0.307
70,0.169,0.827,-0.311
71,0.181,0.827,-0.304
72,0.173,0.831,-0.304
73,0.169,0.831,-0.307
74,0.177,0.831,-0.304
75,0.184,0.835,-0.304
76,0.177,0.835,-0.304
77,0.177,0.831,-0.297
78,0.173,0.831,-0.304
79,0.173,0.827,-0.3
80,0.177,0.827,-0.29
81,0.166,0.839,-0.286
82,0.173,0.839,-0.286
83,0.169,0.827,-0.293
84,0.166,0.839,-0.304
85,0.181,0.831,-0.297
86,0.177,0.839,-0.304
87,0.173,0.831,-0.3
88,0.177,0.831,-0.3
89,0.173,0.831,-0.283
90,0.177,0.831,-0.286
91,0.184,0.857,-0.279
92,0.188,0.831,-0.307
93,0.173,0.831,-0.311
94,0.177,0.835,-0.304
95,0.166,0.835,-0.297
96,0.177,0.831,-0.29
97,0.173,0.831,-0.3
98,0.166,0.831,-0.293
99,0.173,0.839,-0.3
100,0.169,0.839,-0.293
101,0.173,0.831,-0.3
102,0.166,0.835,-0.297
103,0.173,0.831,-0.297
104,0.177,0.827,-0.293
105,0.177,0.839,-0.297
106,0.181,0.823,-0.297
107,0.169,0.835,-0.3
108,0.169,0.842,-0.3
109,0.177,0.827,-0.293
110,0.173,0.835,-0.311
111,0.169,0.835,-0.311
