,ax,ay,az
0,,,
1,-0.12,0.019,-0.887;
2,-0.12,0.023,-0.880;
3,-0.105,0.015,-0.873;
4,-0.113,0.026,-0.898;
5,-0.113,0.011,-0.880;
6,-0.117,0.015,-0.884;
7,-0.102,0.004,-0.877;
8,-0.105,0.011,-0.884;
9,-0.117,0.011,-0.887;
10,-0.12,0.015,-0.891;
11,-0.105,0.015,-0.887;
12,-0.098,0.023,-0.887;
13,-0.113,0.026,-0.887;
14,-0.128,0.026,-0.877;
15,-0.117,0.019,-0.873;
16,-0.113,0.026,-0.891;
17,-0.12,0.023,-0.873;
18,-0.113,0.023,-0.884;
19,-0.117,0.026,-0.880;
20,-0.12,0.019,-0.887;
21,-0.113,0.015,-0.887;
22,-0.113,0.008,-0.873;
23,-0.113,0.015,-0.887;
24,-0.105,0.015,-0.887;
25,-0.117,0.023,-0.898;
26,-0.117,0.023,-0.887;
27,-0.12,0.034,-0.873;
28,-0.117,0.03,-0.894;
29,-0.117,0.038,-0.884;
30,-0.113,0.041,-0.880;
31,-0.105,0.03,-0.905;
32,-0.109,0.041,-0.873;
33,-0.105,0.023,-0.884;
34,-0.117,0.023,-0.894;
35,-0.117,0.023,-0.863;
36,-0.113,0.023,-0.884;
37,-0.109,0.019,-0.880;
38,-0.102,0.03,-0.898;
39,-0.117,0.023,-0.873;
40,-0.113,0.026,-0.898;
41,-0.102,0.026,-0.898;
42,-0.113,0.026,-0.880;
43,-0.113,0.026,-0.884;
44,-0.109,0.008,-0.894;
45,-0.102,0.026,-0.894;
46,-0.098,0.023,-0.905;
47,-0.12,0.023,-0.891;
48,-0.109,0.019,-0.894;
49,-0.105,0.015,-0.884;
50,-0.109,0.023,-0.891;
51,-0.109,0.026,-0.898;
52,-0.105,0.03,-0.901;
53,-0.109,0.026,-0.887;
54,-0.102,0.011,-0.866;
55,-0.083,0.0,-0.884;
56,-0.102,0.049,-0.905;
57,-0.12,0.049,-0.901;
58,-0.117,0.056,-0.891;
59,-0.09,0.049,-0.877;
60,-0.098,0.034,-0.887;
61,-0.109,0.011,-0.887;
62,-0.098,0.008,-0.887;
63,-0.098,0.0,-0.894;
64,-0.102,0.008,-0.887;
65,-0.098,0.008,-0.898;
66,-0.09,0.015,-0.898;
67,-0.094,0.019,-0.894;
68,-0.072,0.019,-0.891;
69,-0.162,0.053,-0.908;
70,-0.151,0.023,-0.863;
71,-0.087,0.03,-0.877;
72,-0.087,0.03,-0.880;
73,-0.109,0.03,-0.898;
74,-0.102,0.041,-0.905;
75,-0.109,0.038,-0.884;
76,-0.12,0.034,-0.887;
77,-0.113,0.038,-0.905;
78,-0.113,0.03,-0.887;
79,-0.117,0.038,-0.884;
80,-0.109,0.045,-0.894;
81,-0.109,0.038,-0.894;
82,-0.105,0.053,-0.891;
83,-0.109,0.056,-0.877;
84,-0.105,0.049,-0.884;
85,-0.102,0.049,-0.887;
86,-0.102,0.038,-0.884;
87,-0.098,0.041,-0.887;
88,-0.102,0.041,-0.908;
89,-0.09,0.049,-0.891;
90,-0.109,0.06,-0.891;
91,-0.087,0.053,-0.891;
92,-0.098,0.053,-0.887;
93,-0.09,0.053,-0.891;
94,-0.094,0.06,-0.884;
95,-0.079,0.049,-0.898;
96,-0.079,0.056,-0.887;
97,-0.075,0.056,-0.894;
98,-0.083,0.049,-0.887;
99,-0.094,0.056,-0.884;
100,-0.09,0.056,-0.891;
101,-0.083,0.053,-0.884;
102,-0.087,0.068,-0.898;
103,-0.075,0.071,-0.891;
104,-0.087,0.068,-0.877;
105,-0.06,0.06,-0.877;
106,-0.064,0.064,-0.894;
107,-0.068,0.068,-0.905;
108,-0.064,0.083,-0.887;
109,-0.068,0.064,-0.884;
110,-0.072,0.064,-0.870;
111,-0.079,0.075,-0.870;
112,-0.083,0.064,-0.887;
113,-0.06,0.079,-0.898;
114,-0.064,0.075,-0.884;
115,-0.06,0.068,-0.887;
116,-0.064,0.075,-0.880;
117,-0.064,0.079,-0.880;
118,-0.056,0.075,-0.877;
119,-0.056,0.083,-0.887;
120,-0.075,0.09,-0.877;
121,-0.072,0.083,-0.884;
122,-0.068,0.079,-0.908;
123,-0.053,0.083,-0.884;
124,-0.056,0.09,-0.873;
125,-0.038,0.109,-0.891;
126,-0.045,0.09,-0.891;
127,-0.049,0.083,-0.880;
128,-0.064,0.09,-0.891;
129,-0.056,0.083,-0.887;
130,-0.041,0.086,-0.891;
131,-0.045,0.094,-0.891;
132,-0.045,0.094,-0.880;
133,-0.045,0.086,-0.880;
134,-0.053,0.094,-0.877;
135,-0.049,0.102,-0.884;
136,-0.034,0.094,-0.877;
137,-0.041,0.086,-0.894;
138,-0.049,0.09,-0.894;
139,-0.049,0.098,-0.880;
140,-0.045,0.098,-0.866;
141,-0.03,0.098,-0.887;
142,-0.045,0.094,-0.887;
143,-0.056,0.09,-0.873;
144,-0.038,0.094,-0.877;
145,-0.049,0.105,-0.880;
146,-0.045,0.105,-0.877;
147,-0.03,0.102,-0.891;
148,-0.038,0.098,-0.891;
149,-0.03,0.102,-0.877;
150,-0.026,0.098,-0.873;
151,-0.041,0.12,-0.891;
152,-0.038,0.109,-0.873;
153,-0.03,0.105,-0.877;
154,-0.049,0.109,-0.884;
155,-0.034,0.117,-0.891;
156,-0.038,0.105,-0.877;
157,-0.023,0.105,-0.901;
158,-0.03,0.117,-0.877;
159,-0.041,0.102,-0.877;
160,-0.023,0.105,-0.901;
161,-0.03,0.105,-0.880;
162,-0.023,0.124,-0.870;
163,-0.026,0.128,-0.880;
164,-0.019,0.113,-0.884;
165,-0.015,0.113,-0.887;
166,-0.026,0.12,-0.887;
167,-0.026,0.12,-0.891;
168,-0.019,0.12,-0.898;
169,-0.03,0.124,-0.901;
170,-0.034,0.109,-0.873;
171,-0.011,0.102,-0.880;
172,-0.026,0.113,-0.898;
173,-0.03,0.113,-0.877;
174,-0.023,0.109,-0.880;
175,-0.019,0.124,-0.901;
176,-0.019,0.117,-0.884;
177,-0.026,0.12,-0.887;
178,-0.023,0.113,-0.887;
179,-0.023,0.12,-0.887;
180,-0.03,0.12,-0.898;
181,-0.038,0.113,-0.877;
182,-0.03,0.105,-0.856;
183,-0.026,0.098,-0.873;
184,-0.026,0.109,-0.877;
185,-0.015,0.102,-0.898;
186,-0.03,0.105,-0.891;
187,-0.038,0.098,-0.884;
188,-0.034,0.109,-0.884;
189,-0.034,0.098,-0.880;
190,-0.03,0.102,-0.898;
191,-0.041,0.094,-0.894;
192,-0.06,0.075,-0.887;
193,-0.049,0.086,-0.894;
194,-0.06,0.086,-0.887;
195,-0.053,0.098,-0.891;
196,-0.056,0.094,-0.887;
197,-0.056,0.071,-0.873;
198,-0.053,0.09,-0.901;
199,-0.038,0.071,-0.891;
200,-0.053,0.079,-0.873;
201,-0.064,0.098,-0.891;
202,-0.064,0.086,-0.894;
203,-0.056,0.068,-0.884;
204,-0.056,0.075,-0.884;
205,-0.056,0.071,-0.901;
206,-0.06,0.06,-0.877;
207,-0.068,0.068,-0.873;
208,-0.06,0.068,-0.884;
209,-0.064,0.071,-0.891;
210,-0.06,0.068,-0.898;
211,-0.079,0.06,-0.877;
212,-0.075,0.064,-0.884;
213,-0.068,0.06,-0.880;
214,-0.075,0.053,-0.887;
215,-0.075,0.064,-0.901;
216,-0.083,0.056,-0.884;
217,-0.064,0.056,-0.891;
218,-0.072,0.056,-0.891;
