,ax,ay,az
0,,,
1,0.373,0.004,-0.814;
2,0.376,0.019,-0.796;
3,0.384,0.011,-0.800;
4,0.388,-0.008,-0.800;
5,0.391,-0.023,-0.800;
6,0.376,-0.015,-0.782;
7,0.361,0.004,-0.786;
8,0.361,0.015,-0.810;
9,0.373,0.011,-0.807;
10,0.369,0.019,-0.803;
11,0.346,0.004,-0.803;
12,0.346,0.008,-0.800;
13,0.38,0.0,-0.810;
14,0.38,-0.008,-0.810;
15,0.361,-0.015,-0.803;
16,0.376,-0.004,-0.800;
17,0.376,0.008,-0.807;
18,0.38,0.011,-0.814;
19,0.373,0.045,-0.800;
20,0.361,0.056,-0.807;
21,0.365,0.034,-0.803;
22,0.365,0.026,-0.807;
23,0.358,0.034,-0.800;
24,0.384,0.026,-0.779;
25,0.388,-0.015,-0.793;
26,0.384,-0.041,-0.814;
27,0.358,-0.034,-0.835;
28,0.358,-0.03,-0.821;
29,0.388,-0.015,-0.786;
30,0.391,-0.008,-0.761;
31,0.373,0.03,-0.782;
32,0.358,0.079,-0.810;
33,0.391,0.056,-0.814;
34,0.391,0.079,-0.800;
35,0.395,0.094,-0.796;
36,0.414,0.041,-0.779;
37,0.391,0.06,-0.782;
38,0.369,0.056,-0.793;
39,0.38,0.086,-0.793;
40,0.388,0.079,-0.800;
41,0.399,0.068,-0.814;
42,0.414,0.071,-0.800;
43,0.365,0.064,-0.786;
44,0.361,0.064,-0.796;
45,0.365,0.06,-0.793;
46,0.391,0.041,-0.796;
47,0.403,0.019,-0.800;
48,0.391,0.004,-0.800;
49,0.384,0.008,-0.800;
50,0.38,-0.004,-0.803;
51,0.376,-0.008,-0.796;
52,0.38,0.0,-0.789;
53,0.376,-0.008,-0.782;
54,0.384,0.004,-0.796;
55,0.38,0.011,-0.803;
56,0.384,0.03,-0.796;
57,0.373,0.049,-0.800;
58,0.373,0.06,-0.786;
59,0.376,0.045,-0.786;
60,0.388,0.03,-0.786;
61,0.395,0.034,-0.803;
62,0.399,0.03,-0.807;
63,0.391,0.026,-0.796;
64,0.384,0.038,-0.800;
65,0.399,0.034,-0.789;
66,0.403,0.041,-0.789;
67,0.38,0.049,-0.782;
68,0.399,0.049,-0.796;
69,0.384,0.049,-0.789;
70,0.388,0.03,-0.800;
71,0.376,0.045,-0.793;
72,0.395,0.038,-0.789;
73,0.407,0.03,-0.793;
74,0.407,0.034,-0.786;
75,0.376,0.034,-0.786;
76,0.376,0.034,-0.789;
77,0.395,0.026,-0.803;
78,0.395,0.041,-0.803;
79,0.388,0.034,-0.800;
80,0.384,0.034,-0.796;
81,0.384,0.038,-0.800;
82,0.38,0.041,-0.803;
83,0.388,0.038,-0.800;
84,0.391,0.045,-0.800;
85,0.391,0.041,-0.789;
86,0.388,0.038,-0.793;
87,0.395,0.034,-0.800;
88,0.403,0.041,-0.800;
89,0.407,0.038,-0.786;
90,0.391,0.045,-0.796;
91,0.407,0.034,-0.789;
92,0.414,0.03,-0.786;
93,0.41,0.03,-0.779;
94,0.414,0.038,-0.782;
95,0.414,0.041,-0.782;
96,0.418,0.03,-0.782;
